Name,Address,Postcode,Telephone,Email,Inspections,"Opening Hours","Establishment website",Religion,Headteacher,Neighbourhood,"Eco-Schools status","More about the Eco-Schools programme",Type,"More information",Location
"Craiglockhart Primary School Nursery Class","90 Ashley Terrace","EH11 1RG","0131 337 1407",Admin@Craiglockhart.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thurs 8.50am-2.45pm, Fri 8.50am-12.20pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.30pm",http://www.Craiglockhart.edin.sch.uk,Non-Denominational,"Derek Law",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.93176,-3.227708"
"Craigmillar Early Years Centre","6 Craigmillar Castle Gardens","EH16 4BR","0131 661 3126",,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Winnie McIlhone",East,Silver,http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Early Years Centre",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.929773,-3.1448"
"Craigour Park Primary School Nursery Class","102 Moredun Park Road","EH17 7HL","0131 664 7594",Admin@craigourpark.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.50am-11.25am, 12.20pm-2.55pm, FT 8.50am-2.55pm, P1-2 Mon-Thurs 8.45am-2.30pm, Fri 8.45am-12.10pm, P3-7 Mon-Thu 8.45am-3.05pm, Fri 8.45am-12.20pm",http://www.craigourpark.edin.sch.uk,Non-Denominational,"Carol Cameron",South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.913422,-3.133718"
"Craigroyston Early Years Centre","67 Pennywell Road","EH4 4QP","0131 332 3855",,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Diane Hope",North,Registered,http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Early Years Centre",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.973452,-3.253327"
"Craigroyston Primary School Nursery Class","7 Muirhouse Place West","EH4 4PX","0131 343 6465",Admin@craigroyston-pri.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","P1-2 Mon-Thu, 8.40am-2.30pm, Fri 8.40am-12.10pm, P3-7 Mon-Thu 8.40am-3pm, Fri 8.40am-12.40pm",http://www.craigroyston-pri.edin.sch.uk,Non-Denominational,"Lorna Stewart",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.96925,-3.254227"
"Cramond Primary School Nursery Class","4 Cramond Crescent","EH4 6PG","0131 312 6450",Admin@cramond.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.50am-11.25am, 12.15pm-2.50pm, FT 8.50am-2.50pm, P1-2 Mon-Thurs 8.50am-2.50pm, Fri 8.50am-12.20pm, P3-7 Mon-Thu 8.50am-3.20pm, Fri 8.50am-12.25pm",http://www.cramond.edin.sch.uk,Non-Denominational,"Helen Donaldson",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.971942,-3.30357"
"Cranley Nursery - Buckstone","226 Braid Road","EH10 6NZ","0131 445 2227",vikki@cranleynursery.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.908674,-3.209173"
"Cranley Nursery - Colinton","Paties Road Pavillion, 66 Katesmill Road","EH14 1JF","0131 441 3804",lorna@cranleynursery.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,","
"Cranley Nursery - Craiglockhart","38 Craiglockhart Avenue","EH14 1LT","0131 444 0880",carron@cranleynursery.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.923659,-3.244676"
"Crewe Road Nursery","122 Crewe Road South","EH4 2NY","0131 332 8392",creweroadnursery@tiscali.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.964954,-3.233525"
"Croileagan Nursery","6a Featherhall Avenue","EH12 7TQ","0131 334 2960",chris@croileagan.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.942884,-3.28827"
"Currie Children's Nursery","79 Riccarton Mains Road","EH14 5NB","07852 463004",claylandsnursery@btinternet.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.901034,-3.30999"
"Currie Playgroup","c/o Currie Baptist Church, 16 Kirkgate","EH14 6AN","0131 449 2016",amanda.gillespie@btinternet.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.894723,-3.309045"
"Currie Primary School Nursery Class","59 Curriehill Road, Currie","EH14 5PU","0131 449 3359",Admin@currie-pri.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 9am-11.35am, 12.30pm-3.05pm, P1-2 Mon-Thurs 8.45am-2.45pm, Fri 8.45am-11.55am, P3-7 Mon-Thu 8.45am-3.15pm, Fri 8.45am-12pm",http://www.currie-pri.edin.sch.uk,Non-Denominational,"Sally Hourston","South West","Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.89781,-3.313785"
"Dalmeny Primary School Nursery Class","Carlowrie Crescent, Dalmeny","EH30 9TZ","0131 331 1447",Admin@Dalmeny.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thurs 8.50am-2.45pm, Fri 8.50am-12.25pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.dalmeny.edin.sch.uk,Non-Denominational,"Laura Brandon",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.980788,-3.372551"
"Dalry Primary School Nursery Class","Dalry Road","EH11 2JB","0131 337 6086",Admin@Dalry.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 9am-11.35am, 12.25pm-3pm, FT 9am-3pm, P1-2 Mon-Thurs 8.50am-3.07pm, Fri 8.50am-12.27pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.dalry.edin.sch.uk,Non-Denominational,"Grant Gillies",West,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.942821,-3.221107"
"Davidson's Mains Primary School Nursery Class","Corbiehill Road","EH4 5DZ","0131 336 1184",Admin@davidsonsmains.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.50am-11.25am, 12.25pm-3pm, FT 8.50am-3pm, P1-2 Mon-Thurs 8.50am-3pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.30pm",http://www.davidsonsmains.edin.sch.uk,Non-Denominational,"Dave Edwards",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.96409,-3.266839"
"Dean Park Primary School Nursery Class","31 Marchbank Gardens, Balerno","EH14 7ET","0131 449 4529",Admin@deanpark.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 9am-11.35am, 12.25pm-3pm, FT 9am-3pm, P1-2 Mon-Thurs 8.50am-2.45pm, Fri 8.50am-12.15pm, P3-7 Mon/Tue/Thu 8.50am-3.15pm, Wed 8.50am-3.10pm, Fri 8.50am-12.25pm",,Non-Denominational,"Rehana Shanks","South West","Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.879695,-3.340791"
"Doune Terrace Nursery","9c Doune Terrace","EH3 6DY","0131 225 3805",contact@douneterracenursery.org.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.955997,-3.208735"
"Dreghorn Pre-school Group","25/27 Dreghorn Gardens","EH13 9NW","0131 441 5974",e415@btinternet.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.903455,-3.2262"
"Duddingston Primary School Nursery Class","70a Duddingston Road","EH15 1SW","0131 669 5092",Admin@duddingston.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, P1-2 Mon-Thurs 8.45am-2.55pm, Fri 8.45am-12.10pm, P3-7 Mon-Thu 8.45am-3.15pm, Fri 8.45am-12.20pm",http://www.duddingston.edin.sch.uk,Non-Denominational,"Karen Morris",East,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.946922,-3.131647"
"Duncan Street Playgroup","Duncan St Baptist Church Hall, Duncan Street","EH9 1SR","0131 667 8097",duncanstreetplaygroup@googlemail.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Lorraine Adams",South,,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.935092,-3.178144"
"Early Days Nursery","36 Palmerston Place","EH12 5BJ","0131 226 4491",contact@earlydaysnursery.org.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.949065,-3.217958"
"East Craigs Primary School Nursery Class","79 Craigmount Brae","EH12 8XF","0131 339 7115",Admin@eastcraigs.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.50am-11.25am, 12.20pm-2.55pm, FT 8.50am-2.55pm, P1-2 Mon-Thurs 8.50am-2.45pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.eastcraigs.edin.sch.uk,Non-Denominational,"Caroline Sanderson",West,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.952598,-3.302855"
"Echline Primary School Nursery Class","Bo'ness Road, South Queensferry","EH30 9XJ","0131 331 3397",Admin@echline.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.50am-11.25am, 12.20pm-2.55pm, FT 8.50am-2.55pm, P1-2 Mon-Thur 8.50am-2.50pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.echline.edin.sch.uk,Non-Denominational,"Jim McColgan",West,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.989156,-3.411124"
"Edinburgh Day Nursery (Asquith)","David Lloyd Centre, Gyle Park","EH12 8LH","0131 334 8055",edinburgh@asquithnurseries.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.939426,-3.303956"
"Edinburgh Montessori Arts School","Mill House, Tower Mains, 18N Liberton Brae","EH16 6AE","0131 446 0777",althea@emaschool.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.917594,-3.169426"
"Edinburgh Nursery","129 Broughton Road","EH7 4JH","0131 557 5675",edinburghnursery@btconnect.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.964793,-3.191455"
"Edinburgh Steiner School Nursery Class","60 Spylaw Road","EH10 5BR","0131 337 3410",erss.accounts@steinerweb.org.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Independent School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.930663,-3.224169"
"Edzell Nursery Class","St James Church Hall, Inverleith Row","EH3 5PX","07909 672377",edzellnursery@gmail.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.970596,-3.208879"
"Fairmile House Nursery","2a Oxgangs Road","EH10 7AU","0131 445 1566",info@fairmilehousenursery.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,"South West",,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.902048,-3.206505"
"Ferryhill Primary School Nursery Class","Groathill Road North","EH4 2SQ","0131 538 7382",Admin@ferryhill.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-2.40pm, Fri 8.50am-12.20pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.30pm",http://www.ferryhill.edin.sch.uk,Non-Denominational,"Stewart Crabb",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.964143,-3.249043"
"Flora Stevenson Primary School Nursery Class","175 Comely Bank","EH4 1BG","0131 332 1604",Admin@florastevenson.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-2.45pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.20pm, Fri 8.50am-12.25pm",http://www.florastevenson.edin.sch.uk,Non-Denominational,"Irene Brennan (Acting)",North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.958702,-3.224944"
"Forbes Childrens Nursery (Bruntsfield)","5 Forbes Road","EH10 4EF","0131 229 5511",forbescnbr@btconnect.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.934946,-3.207143"
"Forbes Childrens Nursery (Claremont)","12 Claremont Park","EH6 7PJ","0131 553 5068",forbescncp@btconnect.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.969952,-3.154649"
"Fort Early Years Centre","25 North Fort Street","EH6 4HF","0131 554 4077",,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Liz Ersoy",North,Registered,http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Early Years Centre",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.976698,-3.185974"
"Forthview Primary School Nursery Class","West Pilton Place","EH4 4DF","0131 332 2468",Admin@forthview.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur Mon-Thu 8.45am-11.20am, 12.15pm-2.50pm, Fri 8.45am-12pm, P1-2 Mon-Thur 8.45am-3pm, Fri 8.45am-12pm, P3-7 Mon-Thu 8.45am-3.15pm, Fri 8.45am-12pm",http://www.forthview.edin.sch.uk,Non-Denominational,"Moira Heatly",North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.971478,-3.240876"
"Fox Covert Nursery","c/o Fox Covert Primary School, Clerwood Terrace","EH12 8PG","0131 467 7294",fcnursery@hotmail.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,","
"George Heriot's School Nursery Class","Lauriston Place","EH3 9EQ","0131 229 7263",enquiries@george-heriots.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Independent School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.944886,-3.197426"
"George Watson's College Nursery Class","Colinton Road","EH10 5EG","0131 446 6000",e.black@fc.gwc.org.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Independent School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.931136,-3.2189"
"Gilmerton Early Years Centre","66 Gilmerton Dykes Street","EH17 8PL","0131 664 1202",,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Kenny Spence",South,"Not Registered",http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Early Years Centre",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.903651,-3.13903"
"Gracemount Primary School Nursery Class","45 Gracemount House Drive","EH16 6FD","0131 664 2331",Admin@gracemount-pri.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.50am-11.25am, 12.30pm-3.05pm, FT 8.50am-3.05pm, P1-2 Mon-Thur 8.45am-2.50pm, Fri 8.45am-12.15pm, P3-7 Mon-Thu 8.45am-3.25pm, Fri 8.45am-12.25pm",http://www.gracemount-pri.edin.sch.uk,Non-Denominational,"Rose Islambolipoor",South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.905578,-3.154164"
"Grange Private Nursery","180 Grange Loan","EH9 2EE","0131 477 4504",sandy.towers@blueyonder.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.93386,-3.178948"
"Granton Early Years Cente","10 Wardieburn Road","EH5 1LY","0131 552 4808",,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Diane Hope",North,"Not Registered",http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Early Years Centre",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.97798,-3.229723"
"Granton Primary School Nursery Class","55 Boswall Parkway","EH5 2DA","0131 552 3987",Admin@Granton.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nur 8.45am-11.20am, 12.40pm-3.15pm, FT 8.45am-3.15pm, P1-2 Mon-Thur 8.45am-2.50pm, Fri 8.45am-12.15pm, P3-7 Mon-Thu 8.45am-3.15pm, Fri 8.45am-12.25pm",,Non-Denominational,"Shelagh Dow (Acting)",North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.975724,-3.226623"
"Grassmarket Nursery School","11/15 The Vennel, Grassmarket","EH1 2HU","0131 229 6540",Admin@Grassmarket-nur.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Mon-Fri, 8.55am-3.00pm",http://www.grassmarket-nur.edin.sch.uk,,"Donna Murray (Acting)",South,Bronze,http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Local Authority Nursery School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.9466,-3.197161"
"Greenbank Preschool","Greenbank Parish Church, Braidburn Terrace","EH10 6ES","0131 447 8068",David.27Reid@blueyonder.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.919177,-3.212468"
"Greendykes Early Years Centre","205 Craigmillar Castle Avenue","EH16 4DZ","0131 661 3109",,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,"Jackie Cairnie",East,"Not Registered",http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Early Years Centre",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.931848,-3.132755"
