Name,Address,Postcode,Telephone,Email,Inspections,"Opening Hours","Establishment website",Headteacher,Neighbourhood,"Eco-Schools status","More about the Eco-Schools programme",Type,Location
"Craigroyston Primary School Nursery Class","7 Muirhouse Place West","EH4 4PX","0131 343 6465",Admin@craigroyston-pri.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","P1-2 Mon-Thu, 8.40am-2.30pm, Fri 8.40am-12.10pm, P3-7 Mon-Thu 8.40am-3pm, Fri 8.40am-12.40pm",http://www.craigroyston-pri.edin.sch.uk,"Lorna Stewart",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.96925,-3.2542266"
"Cramond Primary School Nursery Class","4 Cramond Crescent","EH4 6PG","0131 312 6450",Admin@cramond.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.50am-11.25am, 12.15pm-2.50pm, FT 8.50am-2.50pm, P1-2 Mon-Thurs 8.50am-2.50pm, Fri 8.50am-12.20pm, P3-7 Mon-Thu 8.50am-3.20pm, Fri 8.50am-12.25pm",http://www.cramond.edin.sch.uk,"Helen Donaldson",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9721483,-3.3039609"
"Cranley Nursery - Buckstone","226 Braid Road","EH10 6NZ","0131 445 2227",kelly@cranleynursery.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9086744,-3.2091728"
"Cranley Nursery - Colinton","Paties Road Pavillion, 66 Katesmill Road","EH14 1JF","0131 441 3804",lorna@cranleynursery.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,"South West","Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9143067,-3.2538917"
"Cranley Nursery - Craiglockhart","38 Craiglockhart Avenue","EH14 1LT","0131 444 0880",carron@cranleynursery.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,"South West","Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9236592,-3.2446755"
"Crewe Road Nursery","122 Crewe Road South","EH4 2NY","0131 332 8392",creweroadnursery@tiscali.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9649539,-3.2335249"
"Currie Children's Nursery","79 Riccarton Mains Road","EH14 5NB","07852 463004",claylandsnursery@btinternet.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,"South West",Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9010339,-3.3099897"
"Currie Playgroup","c/o Currie Baptist Church, 16 Kirkgate","EH14 6AN","0131 449 2016",amanda.gillespie@btinternet.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,"South West","Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Playgroup or Part-Time Nursery","55.8947234,-3.3090454"
"Currie Primary School Nursery Class","59 Curriehill Road, Currie","EH14 5PU","0131 449 3359",Admin@currie-pri.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 9am-11.35am, 12.30pm-3.05pm, P1-2 Mon-Thurs 8.45am-2.45pm, Fri 8.45am-11.55am, P3-7 Mon-Thu 8.45am-3.15pm, Fri 8.45am-12pm",http://www.currie-pri.edin.sch.uk,"Sally Hourston","South West","Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.8978099,-3.3137851"
"Dalmeny Primary School Nursery Class","Carlowrie Crescent, Dalmeny","EH30 9TZ","0131 331 1447",Admin@Dalmeny.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nursery 8.55am-11.30am, 12.30pm-3.05pm
P1-2 Mon-Thurs 8.50am-2.45pm, Fri 8.50am-12.25pm
P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.dalmeny.edin.sch.uk,"Laura Brandon",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9807878,-3.3725506"
"Dalry Primary School Nursery Class","Dalry Road","EH11 2JB","0131 337 6086",Admin@Dalry.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 9am-11.35am, 12.25pm-3pm, FT 9am-3pm, P1-2 Mon-Thurs 8.50am-3.07pm, Fri 8.50am-12.27pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.dalry.edin.sch.uk,"Grant Gillies",West,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.942821,-3.2211067"
"Davidson's Mains Primary School Nursery Class","Corbiehill Road","EH4 5DZ","0131 336 1184",Admin@davidsonsmains.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.50am-11.25am, 12.25pm-3pm, FT 8.50am-3pm, P1-2 Mon-Thurs 8.50am-3pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.30pm",http://www.davidsonsmains.edin.sch.uk,"Lesley Nock",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9640904,-3.2668391"
"Dean Park Primary School Nursery Class","31 Marchbank Gardens, Balerno","EH14 7ET","0131 449 4529",Admin@deanpark.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 9am-11.35am, 12.25pm-3pm, FT 9am-3pm, P1-2 Mon-Thurs 8.50am-2.45pm, Fri 8.50am-12.15pm, P3-7 Mon/Tue/Thu 8.50am-3.15pm, Wed 8.50am-3.10pm, Fri 8.50am-12.25pm",http://deanparkschool.org.uk,"Rehana Shanks","South West","Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.8796946,-3.3407907"
"Doune Terrace Nursery","9c Doune Terrace","EH3 6DY","0131 225 3805",contact@douneterracenursery.org.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.955997,-3.2087348"
"Dreghorn Pre-school Group","25/27 Dreghorn Gardens","EH13 9NW","0131 441 5974",preschooledin@hotmail.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,"South West",,,"Playgroup or Part-Time Nursery","55.9034546,-3.2261998"
"Duddingston Primary School Nursery Class","70a Duddingston Road","EH15 1SW","0131 669 5092",Admin@duddingston.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, P1-2 Mon-Thurs 8.45am-2.55pm, Fri 8.45am-12.10pm, P3-7 Mon-Thu 8.45am-3.15pm, Fri 8.45am-12.20pm",http://www.duddingston.edin.sch.uk,"Karen Morris",East,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9469218,-3.1316472"
"Duncan Street Playgroup","Mayfield Salisbury Parish Church Hall, 18 West Mayfield","EH9 1TQ","0131 667 8097",duncanstreetplaygroup@googlemail.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"Lorraine Adams",South,,,"Playgroup or Part-Time Nursery","55.9352122,-3.1776008"
"Early Days Nursery","36 Palmerston Place","EH12 5BJ","0131 226 4491",contact@earlydaysnursery.org.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,,,"Private Day Nursery","55.94882,-3.2180956"
"East Craigs Primary School Nursery Class","79 Craigmount Brae","EH12 8XF","0131 339 7115",Admin@eastcraigs.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.50am-11.25am, 12.20pm-2.55pm, FT 8.50am-2.55pm, P1-2 Mon-Thurs 8.50am-2.45pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.eastcraigs.edin.sch.uk,"Caroline Sanderson",West,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9525983,-3.3028551"
"Echline Primary School Nursery Class","Bo'ness Road, South Queensferry","EH30 9XJ","0131 331 3397",Admin@echline.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.50am-11.25am, 12.20pm-2.55pm, FT 8.50am-2.55pm, P1-2 Mon-Thur 8.50am-2.50pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.echline.edin.sch.uk,"Dorothy Crawford",West,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9891556,-3.4111236"
"Edinburgh Day Nursery (Asquith)","David Lloyd Centre, Gyle Park","EH12 8LH","0131 334 8055",edinburgh@asquithnurseries.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9337553,-3.306277"
"Edinburgh Montessori Arts School","Mill House, Tower Mains, 18N Liberton Brae","EH16 6AE","0131 446 0777",althea@emaschool.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Playgroup or Part-Time Nursery","55.9154665,-3.1663001"
"Edinburgh Nursery","129 Broughton Road","EH7 4JH","0131 557 5675",edinburghnursery@btconnect.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,,,"Private Day Nursery","55.9647929,-3.1914553"
"Edinburgh Steiner School Nursery Class","60 Spylaw Road","EH10 5BR","0131 337 3410",erss.accounts@steinerweb.org.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Independent School","55.9306632,-3.2241686"
"Edzell Nursery Class","St James Church Hall, Inverleith Row","EH3 5PX","07909 672377",edzellnursery@gmail.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Playgroup or Part-Time Nursery","55.970861,-3.2088554"
"ESMS Junior School Nursery","Easter Ravelston","EH4 3NT","0131 347 5777",prepsecretary@esmgc.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,,,"Independent School","55.968109,-3.2823903"
"Fairmile House Nursery","2a Oxgangs Road","EH10 7AU","0131 445 1566",info@fairmilehousenursery.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,"South West",Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9020476,-3.2065046"
"Ferryhill Primary School Nursery Class","Groathill Road North","EH4 2SQ","0131 538 7382",Admin@ferryhill.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-2.40pm, Fri 8.50am-12.20pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.30pm",http://www.ferryhill.edin.sch.uk,"Stewart Crabb",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9641429,-3.2490428"
"Flora Stevenson Primary School Nursery Class","175 Comely Bank","EH4 1BG","0131 332 1604",Admin@florastevenson.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-2.45pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.20pm, Fri 8.50am-12.25pm",http://www.florastevenson.edin.sch.uk,"Irene Brennan",North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9587015,-3.2249439"
"Forbes Childrens Nursery (Bruntsfield)","5 Forbes Road","EH10 4EF","0131 229 5511",forbescnbr@btconnect.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9349464,-3.207143"
"Forbes Childrens Nursery (Claremont)","12 Claremont Park","EH6 7PJ","0131 553 5068",forbescncp@btconnect.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9699522,-3.1546489"
"Fort Early Years Centre","25 North Fort Street","EH6 4HF","0131 554 4077",,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,http://www.fort.edin.sch.uk,"Karen Brown - (acting)",North,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Early Years Centre & Nursery","55.9766984,-3.1859735"
"Forthview Primary School Nursery Class","West Pilton Place","EH4 4DF","0131 332 2468",Admin@forthview.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur Mon-Thu 8.45am-11.20am, 12.15pm-2.50pm, Fri 8.45am-12pm, P1-2 Mon-Thur 8.45am-3pm, Fri 8.45am-12pm, P3-7 Mon-Thu 8.45am-3.15pm, Fri 8.45am-12pm",http://www.forthview.edin.sch.uk,"Eileen Littlewood",North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9714776,-3.2408759"
"Fox Covert Nursery","c/o Fox Covert Primary School, Clerwood Terrace","EH12 8PG","0131 467 7294",fcnursery@hotmail.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Playgroup or Part-Time Nursery","55.95189,-3.2804481"
"George Heriot's School Nursery Class","Lauriston Place","EH3 9EQ","0131 229 7263",enquiries@george-heriots.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,,,"Independent School","55.944886,-3.1974261"
"George Watson's College Nursery Class","Colinton Road","EH10 5EG","0131 446 6000",e.black@fc.gwc.org.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,,,"Independent School","55.9311362,-3.2189002"
"Gilmerton Early Years Centre","66 Gilmerton Dykes Street","EH17 8PL","0131 664 1202",,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"Kenny Spence",South,"Not Registered","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Early Years Centre","55.9036513,-3.13903"
"Gracemount Primary School Nursery Class","45 Gracemount House Drive","EH16 6FD","0131 664 2331",Admin@gracemount-pri.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.50am-11.25am, 12.30pm-3.05pm, FT 8.50am-3.05pm, P1-2 Mon-Thur 8.45am-2.50pm, Fri 8.45am-12.15pm, P3-7 Mon-Thu 8.45am-3.25pm, Fri 8.45am-12.25pm",http://www.gracemount-pri.edin.sch.uk,"Greg Dimeck",South,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9055775,-3.1541642"
"Grange Private Nursery","180 Grange Loan","EH9 2EE","0131 477 4504",sandy.towers@blueyonder.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9338604,-3.1789485"
"Granton Early Years Cente","10 Wardieburn Road","EH5 1LY","0131 552 4808",,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"Diane Hope",North,"Not Registered","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Early Years Centre","55.9779796,-3.2297229"
"Granton Primary School Nursery Class","55 Boswall Parkway","EH5 2DA","0131 552 3987",Admin@Granton.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.45am-11.20am, 12.40pm-3.15pm, FT 8.45am-3.15pm, P1-2 Mon-Thur 8.45am-2.50pm, Fri 8.45am-12.15pm, P3-7 Mon-Thu 8.45am-3.15pm, Fri 8.45am-12.25pm",http://www.granton.edin.sch.uk/,"Shelagh Dow",North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9757239,-3.2266228"
"Grassmarket Nursery School","117 Fountainbridge","EH3 9QG","0131 229 7828",Admin@Grassmarket-nur.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Mon-Fri, 8.55am-3.00pm",http://www.grassmarket-nur.edin.sch.uk,"Alice Brown",South,Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Nursery School","55.9436687,-3.2070902"
"Greenbank Preschool","Greenbank Parish Church, Braidburn Terrace","EH10 6ES","0131 447 8068",David.27Reid@blueyonder.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Playgroup or Part-Time Nursery","55.919177,-3.2124675"
"Greendykes Early Years Centre","205 Craigmillar Castle Avenue","EH16 4DZ","0131 661 3109",,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"Jackie Cairnie",East,"Not Registered","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Early Years Centre","55.9318477,-3.1327549"
"Greengables Nursery School","8a Niddrie House Gardens","EH16 4UR","0131 669 9083",Admin@greengables-nur.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Mon-Fri, 8.55am-3.05pm",http://www.greengables-nur.edin.sch.uk,"Isla Finlayson-Crawshaw",East,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Nursery School","55.9290909,-3.1222444"
"Greenhill Montessori Nursery","3 Greenhill Park","EH10 4DW","0131 629 0787",finance@greenhillmontessori.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"Nancy Cecchetti",South,,,"Private Day Nursery","55.933466,-3.209756"
"Gylemuir Primary School Nursery Class","10 Wester Broom Place","EH12 7RT","0131 334 7138",Admin@Gylemuir.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.30pm-3.05pm, FT 8.55am-3.05pm, P1-2 Mon-Thur 8.50am-2.40pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.gylemuir.edin.sch.uk,"Aileen Smart",West,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9376317,-3.2945975"
"Hailesland Early Years Centre","23 Hailesland Place","EH14 2SL","0131 442 2163",,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"Moira McGachan","South West","Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Early Years Centre","55.9169553,-3.2811622"
"Headstart Nursery School (Leith)","16 Queen Charlotte Street","EH6 6AT","0131 555 0700",leith@headstartnursery.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9739042,-3.1690351"
"Headstart Nursery School (Morningside)","64/66 Morningside Drive","EH10 5NU","0131 447 4778",morningside@headstartnursery.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9228165,-3.2171197"
"Heriot Hill Nursery","34 Heriot Hill Terrace","EH7 4DY","0131 557 9907",joyce@heriothillnursery.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9627507,-3.194709"
"Hermitage Park Primary School Nursery Class","9 Hermitage Park","EH6 8HD","0131 554 2952",Admin@Hermitagepark.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thur 9am-3pm, Fri 9am-12.05pm, P3-7 Mon-Thu 9am-3.30pm, Fri 9am-12.15pm",http://www.hermitagepark.edin.sch.uk,"Denise Penman",North,"Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9658085,-3.162323"
"Highland Fling Nursery","11 East Brighton Crescent","EH15 1LR","0131 468 3453",hfenquiries@gmail.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,East,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9506083,-3.1156125"
"Hillwood Primary School Nursery Class","Station Road, Ratho Station","EH28 8PT","0131 333 1210",Admin@hillwood.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 9.00am-11.30am, P1-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.15pm",http://www.hillwood.edin.sch.uk,"Lucy Henderson",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9388075,-3.3917176"
"Holy Corner Community Playgroup","Christ Church Hall, Morningside Road","EH10 4DD","0131 228 2768",holycorner@hotmail.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,,,"Playgroup or Part-Time Nursery","55.9308799,-3.2099003"
"Holy Cross RC Primary School Nursery Class","Craighall Road","EH6 4RE","0131 552 1972",Admin@Holycross.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thur 8.50am-2.55pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm",http://www.holycross.edin.sch.uk,"Jackie McCarry",North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Roman Catholic Primary","55.9773084,-3.1971993"
