Name,Address,Postcode,Telephone,Email,Opening hours,More information,Organisation,Activities,Location,Navigation ID
A1 Paintball Limited,"Victoria Cottage, Eastfield, Fauldhouse, West Lothian",EH47 0LQ,08000 191 404,info@a1paintball.org,,,,Paintball games provision,"55.90061778959825,-3.386814594268799",
Abernethy Ardeonaig Adventure Centre,By Killin,FK21 8SY,01567 820 523,,,,Abernethy Trust,"Kayaking
Open Canoeing
Improvised Rafting
Sailing
Rock Climbing
Abseiling
Gorge Scrambling
Hill Walking & Mountaineering
Ski Touring
Off-Road Cycling","56.501852,-4.227762",
Abernethy Barcaple,Ringford,DG7 2AP,01557 820 261,barcaple@abernethy.org.uk,,,Abernethy Trust,"Abseiling
Hill / Mountain Walking
Kayaking
Open Canoeing
Orienteering
Peak Venture (Kingswood Learning & Leisure Group Ltd),"Huddersfield Road, Penistone, Sheffield",S36 7GF,01226 762 285,admin@kingswood.co.uk,,,Kingswood Learning & Leisure Group Ltd,"Climbing  
Abseiling  
High Ropes  
Zip Line  
Quad Bikes  
Archery  
Watersports  
Fencing  
Team Building 
Orienteering 
ICT 
Environmental Studies  
Aeroball","53.549947,-1.664718"
Port Edgar Watersports Centre,"Shore Road, South Queensferry, West Lothian",EH30 9SQ,0131 331 3330,,,,Edinburgh Leisure,"Dinghy Sailing
Kayaking  
Canoeing  
Powerboating  
Raft Building 
Mountain Biking (low level)","55.9919,-3.404295"
Prince's Trust Fairbridge Programme (formerly Fairbridge Active Steps),73 Ferry Road,EH6 4AQ,0131 554 2568,,,,Prince's Trust,"Sports & Outdoor Activities
Climbing  
Kayaking  
Canoeing  
Raft Building  
Biking  
ILS  
Work Skills  
Multi Media  
ICT  
Literacy  
Numeracy","55.975094,-3.180863"
Raasay Outdoor Centre,"Isle of Raasay, By Kyle",IV40 8PB,01478 660266,info@raasay-house.co.uk,,,,"Abseiling
Kayaking (sea & loch)
Archery
Crating
Sailing   
Climbing     
Guided Walks","57.353443,-6.07895"
Raceland,"Upper Diamond, Gladsmuir, East Lothian",EH33 1EJ,01875 853 550,mail@raceland.co.uk,,,,Karting - Indoor and Outdoor Paintball,"55.95174,-2.881464"
Re-Union Canal Boats,30 Westburn Grove,EH14 2SA,0131 453 4617,info@re-union.org.uk,,,,"Canal boat trips
Canal environmental clean ups 
Education trips 
Community garden maintenance 
Floating youth club 
Crew training 
Community consultation","55.913994,-3.290384"
Robinwood Activity Centre,"Barhaugh Hall, Kirkhaugh, Near Alston",CA9 3NJ,01706 814 554,,,,Robinwood Activity Centres,"Climbing 
Abseiling 
Nature Hunt 
Archery 
Zip Wire 
Trapeze
Giant Swing 
Caving
Obstacle Course 
Canoeing
Problem Solving (Dragon's Quest) 
Stream Walk
Piranha Pool
Low Ropes
Orienteering Nightline 
Dungeon of Doom
Crate Challenge","54.854844,-2.475707"
Rock UK Whithaugh Park,"Whithaugh Park, Newcastleton, Scottish Borders",TD9 0TY,013873 75 394,whithaugh@rockuk.org,,,,"Abseiling  
Archery  
Bouldering  
Campfire  
Climbing  
Fencing  
Gorge Walking  
Grass Sledging  
High Ropes  
Inflatables  
Kayaking  
Low Ropes  
Mighty Duck Challenge  
Mountain Biking  
Night Walk  
Bivi  
Nightlines  
Advanced Gorge  
Off-site (Canoeing  Climbing  Kayaking)  
Canoeing  
Orienteering  
Raft Building  
Swimming Team Development Tasks  
Water Walkers  
Zip Wire","55.185576,-2.798097"
Rockhopper Sea Kayaking,"2 Montrose Mansions, Corpach, Fort William, Invernesshire",PH33 7JQ,07739 837 344,info@rockhopperscotland.co.uk,,,,"Sea Kayaking  
Open Canoeing  
Hill Walking","56.844438,-5.152036"
Rural & Urban Training Scheme (RUTS),"Former Central Workshop, Lady Victoria Colliery, Newtongrange, Midlothian",EH22 4QN,0131 663 5736,carolinef@ruts.org.uk,,,,"Mobile motorcycle mechanics workshop
Motorcycle maintenance training unit 
Off Road Motorcycling","55.86142,-3.065825"
Scottish Archery Centre,"Fenton Barns, North Berwick",EH39 5BW,01620 850 401,eric@scottisharcherycentre.co.uk,,,,"Archery  
Crossbow  
Air Rifle & Pistol  
Indoor Team Games  
Outdoor Team Games  
Quiz  
Treasure Hunts  
Putting Highland Games","56.02639,-2.78423"
Scottish Seabird Centre,The Harbour,EH39 4SS,01620 890 202,education@seabird.org,,,,"Wildlife Tourism  
Visitor Attraction 
Education 
Rock Pooling 
Beach Walks
Games","56.061398,-2.717447"
Seagull Trust Cruises (Ratho Branch),"Canal Side, Baird Road",EH28 8RA,0131 333 0322,,,,Seagull Trust Cruises,Cruising on the Union Canal for children,"55.922676,-3.378978"
SNO!zone,Scotland Xscape Kings Inch Road Braehead Renfrew,PA4 8XQ,0141 885 7113,,,,,"Sleding  
Ice Slide  
Ski Lessons  
Snowboard Lessons  
SkiBoard Recreational","55.878996,-4.371382"
Staffordshire Centre (Kingswood Learning & Leisure Ltd),"Barn Lane, Albrighton, Staffordshire",WV7 3AW,01902 844 485,admin@kingswood.co.uk,,,Kingswood Learning & Leisure Group Ltd,"Climbing  
Abseiling  
Zip Line  
Quad Bikes  
Caving  
Aeroball  
Go Karts  
Archery  
Fencing  
Orienteering  
Team Building  
ICT  
Environmental Studies 
Circus Skills 
Dance ejay
Field Games
Indoor Initiatives
Laser Zone
Low Ropes 
Mission Possible
Nightline 
Parachute
Games 
Power Climb 
Problem Solving
Team Tech","Barn Lane, Albrighton, Staffordshire, WV7 3AW"
Sustrans Scotland,Rosebury House  9 Haymarket Terrace  Edinburgh,EH12 5EZ,0131 346 1384,info@sustrans.org.uk,,,Sustrans Registered Charity Number 326550,"Led Bikes or day long pedal picnics with P6/P7 pupils in local area as part of I Bike.
Transition bikes rides to new secondary schools (P7s)
Outdoor cycling skills session (within school grounds)
Bikes rides with S1-S3 Girls as part of Beauty and the Bike (I bike project)
Other trips to cycling venues such as Velodrome and or Cycle","55.946266,-3.219553"
The Bike Station,"250 Causewayside, Edinburgh",EH9 1UU,0131 668 1996,ruairidh@thebikestation.org.uk,,www.thebikestation.org.uk,,Off-Road Cycling,"55.934847,-3.179138"
The Green Team (Edinburgh & Lothians) Ltd,"Tynecastle High School, 2 McLeod Street, Edinburgh",EH11 2ND,0131 337 7227,,,,,"Practical Conservation
Environmental Activities
Hillwalking (below 500m)
Camping residentials
Night Walks","55.938821,-3.230509"
The Waterways Trust Scotland,"New Port Downie, Lime Road, Tamfourhill, Falkirk",FK1 4RS,01324 677 809,iain.currie@thewaterwaystrust.org.uk,,,The Waterways Trust,"Trust 'Feet First' Project providers
Guided waterway and woodland, wildlife and heritage walks","56.000332,-3.841667"
Tower Farm Riding Stables,"85 Liberton Drive, Edinburgh",EH16 6NS,0131 664 3375,contact@towerfarm.org,,,Approved by the Trekking and Riding Society of Scotland,"Lessons
Trekking 
Pony Rides","55.912682,-3.174497"
Transgression Park,"10B Kings Haugh, Peffermill Ind Estate, Edinburgh",EH16 5UY,0131 661 4769,hello@transgressionpark.com,,,Transgression Park Ltd,"Skateboard 
BMX 
In-line 
Scooters","55.93427,-3.146341"
Treezone,"Inverdruie, Aviemore",PH22 1QH,01479 811 426,thecabin@treezone.co.uk,,,,High Ropes Course,"57.171522,-3.809621"
Unit 23 SkatePark,"45-50 The Old Bond, Castlegreen Street",G82 1JD,01389 768 333,Unit23skatepark@btconnect.com,,,,"Skateboarding  
BMX ing  
Inline 
Skating","55.938415,-4.55409"
University Marine Biological Station,"Millport, Isle of Cumbrae",KA28 0EG,01475 530 581,,,,University of London,"Accommodation and classroom facilities for visiting schools
Research vessels","55.753161,-4.929215"
Venturing Out,"4/5 Myles Farm Cottages, Tranent, East Lothian",EH33 2LE,07980 000 587,,,,,"Hill Walking  
Kayaking  
Canoeing  
Sea Kayaking  
Bush Craft  
Orienteering  
Trail Cycling  
Mountain Biking  
Improvised Rafting  
Wild Camping  
Rock Climbing  
Abseiling  
Indoor Climbing  
Team Builing","55.933155,-2.9775"
Water of Leith Conservation Trust,"Visitor Centre, 24 Lanark Road, Edinburgh",EH14 1TQ,0131 455 7367,admin@waterofleith.org.uk,,,City of Edinburgh Council,"School Environmental Education Visits  
River Walk  
Woodland Trails  
Bug Hunting  
River and Canal Dipping","55.923387,-3.247918"
Waterskiscotland,"Townhill Country Park, Townloch, Townhill, Dunfermline",KY12 0HT,01383 620 123,bookings@waterskiscotland.co.uk,,,Scottish Water Ski Association,"Waterski & Waterboard Training  
Boat Driving 
Coach Education","56.086558,-3.448431"
West Dunbartonshire Council/Outdoor Education Service,"Balloch Castle, Country Park, Balloch, Dunbartonshire,",G83 8LX,01389 720 753,outdoor.education@west-dunbarton.gov.uk,,,West Dunbartonshire Council,"Kayaking  
Canoeing  
Abseiling  
Rock Climbing  
Mountain Biking  
Hillwalking  
Archery  
Orienteering  
Compass
Problem Solving 
Scrambling 
Team Building","56.002926,-4.583468"
Whiteloch Farm Riding & Trekking Stables,"Macmerry, East Lothian",EH33 1PQ,01875 613 662,listymd@yahoo.co.uk,,,,"Lessons  
Hacking   
Trekking  
Birthday parties  
Courses and career training in all aspects of the horse and rider","55.939592,-2.9114"
Whitewave: Skye,"Kilmuir, Isle of Skye",IV51 9YN,01470 542 414,info@white-wave.co.uk,,,Columba 1400,"Kayaking  
Open Canoeing  
Hillwalking  
Single Pitch Climbing  
Problem Solving Exercises  
Archery
Rock Climbing 
Abseiling
Mountain Boarding","57.635612,-6.376086"
Wild Diamond,"Burnside Cottage, Cornaig, Isle of Tiree, Argyll",PA77 6XA,01879 220 399,info@wilddiamond.co.uk,,www.wilddiamond.co.uk,,"Windsurfing
Stand up Paddleboarding","Burnside Cottage, Cornaig, Isle of Tiree, Argyll  PA77 6XA"
Winmarleigh Hall Activity Centre,"Church Lane, Winmarleigh, Preston",PR3 0LA,01995 604 820,adventure.uk@pgl.co.uk,,,PGL Travel Ltd,"High Ropes  
Climbing  
Abseiling  
Archery  
Orienteering  
Fencing  
Quads  
Canoeing
Evening Events  
Study Team Challenge/IES Study/ED Sessions","53.924206,-2.807784"
Wiston Lodge,"Millrigg Road, Wiston, Biggar",ML12 6HT,01899 850 228,info@wistonlodge.co.uk,,,,"Residential Accommodation (beds):
Lodge (47)
Cabins (18)
Camping (100)
Tipi Camp (20)

Outdoor Challenge Activities: 
Hillwalking
Camping
Canoeing (Pond & River)
Raft Building
Orienteering
Archery
Climbing Wall
Ropes Course (5 elements)
9 x Team Building & Problem Solving Built Structures
Countless Lawn Games/Ice Breakers/Energisers

Wilderness Craft (Bushcraft):
Nature Awareness
Shelter Building
Fire-Making
Water Purification
Observation
Listening and Movements Games
Campfire Cooking
Tipi Camping

Conservation Projects:
Bridge Building
Fencing
Path Making
Drainage
Brashing
Use of Hand Tools etc

Gardening:
4 Acres of Greenhouse
Polytunnel and Beds
All associated tasks from sowing to harvesting
Use of Hand Tools","55.572058,-3.669192"
Wykeham Watersports,"Whykeham Watersports, Wykeham Lakes, Scarborough",YO13 9QU,8454560164,,,www.wykehamwatersports.co.uk,,"Sailing
Raft Build
Canoe
Lakesteering
Team Games
Low Ropes","54.222633,-0.499211"
Xtreme Karting - Edinburgh,"2 Huly Hill Road, Newbridge, Edinburgh",EH28 8PH,0131 333 0195,info@xtremekarting.co.uk,,,,"Go-Karting
Lasertag","55.936945,-3.405282"
Xtreme Karting - Falkirk,"Unit 5, Lochlands Industrial Estate, Larbert",FK5 3NS,01324 579 797,info@xtremekarting.co.uk,,,,Go-Karting,"56.013962,-3.837627"
Youth Vision,"44 Harlaw Road, Balerno, Midlothian",EH14 7AX,0131 449 3748 07999 948 491,youthvision@o2.co.uk,,,,"Bush Craft  
Fire Making  
Shelter Building  
Cooking over Open Fire  
Conservation  
Historing and Archaeology  
Native Wisdom
Outdoor Work
Survival Skills
John Muir Award
Team Games
Gardening 
Art and Craft","55.876765,-3.324636"
