"Service ","Recovery Hub",Description,"Support options","Opening times","How to make a referral",Address,Postcode,Email,Telephone,Mobile,Fax,Website,Location
"Health Opportunities Team",,"The Health Opportunities Team (HOT) offers a range of services for young people aged 12 - 25 years.  They work with young people who have problems with their own or someone else's drinking.  They aim to help young people to improve their emotional, sexual and physical health.   The team works in Portobello, Craigmillar, Liberton and Gilmerton. They have a drop in at Portobello Library.","Therapeutic group work.  One to one support.  Drop - in services offering advice, support. Condoms with C:Card. Chlamdyia and pregnancy testing. Education and health promotion services. Training for professionals.","Monday to Friday,  9 am - 5 pm.","By phonecall or download referral form from website. Drop - ins are open for all young people of 13 years or over.","Thistle Foundation, 1A Queen's Walk","EH16 4EA",info@health-opportunities.org.uk,"0131 468 4600",,"0131 468 4601","<a href=""http://www.health-opportunities.org.uk/"">Health Opportunties Team website</a>","55.9317564923531,-3.1313180923461914"
"Jericho House",,"Jericho House has twenty residential care places for vulnerable adults. They support people who have alcohol related issues including brain damage and mental health problems.","Residential care.  Help with all aspects of personal care. Support with all activities of daily living.","The service can be contacted during normal office hours.","Contact your own social worker, or call Social Care Direct on 0131 200 2324.","53 Lothian Street","EH1 1HB",Edinburgh.Jericho@hotmail.co.uk,"0131 225 8230",,,,"55.946244083114905,-3.1891679763793945"
"Lothians & Edinburgh Abstinence Programme - LEAP",,"LEAP is an intensive programme for up to twenty people who want to stop drinking or using drugs.  It is a therapeutic community.  It supports people for three months, with structured activities every day.  These include group work, workshops, presentations, education, and training.  There are also recreation and relaxation activities. Detoxification can also be provided from modest amounts of drugs or alcohol.  People who take part in the programme can access supported housing at Randolph Crescent Hostel, run by the City of Edinburgh Council.  Access to Industry also works with people on the programme, to help them start training or education, or to get a job, as part of their recovery plan.  People who complete the programme can get support for up to two years after they finish.","Residential rehabilitation. Therapeutic community. Detoxification. Group support. Peer support. Aftercare, Family programme. Employability service.","The service can be contacted during normal office hours.","LEAP will take referrals from any professional involved in the care of a suitable client.","Woodlands House, Astley Ainsley Hospital, 74 Canaan Lane","EH9 2TB",leap.programme@nhslothian.scot.nhs.uk,"0131 446 4400",,,"<a href=""http://www.nhslothian.scot.nhs.uk/Services/A-Z/LEAP/Pages/default.aspx"">LEAP website</a>",
"Midpoint - Turning Point Scotland","North East.  North West.  South East. South West.","Midpoint is a city wide outreach service, for people who are homeless. They also work with people who are at risk of losing their home.  They offers advice, guidance and advocacy to help reduce the risks of homelessness.  They help people individuals to secure and sustain tenancies and live independently.","Home management. Tenancy sustainment. Crisis intervention. Life - skills. Budgeting. Income maximisation. Shopping and food preparation. Welfare and benefits advice. Advocacy. Accessing training and employment. Gardening. Building new social contacts.","Monday to Thursday 9 am - 5 pm.  Friday 9 am - 4.30 pm. Housing Clinic Drop - in: Monday - Wednesday 1 pm - 4.30 pm.","Enquiries from any agency and self referrals are accepted.","5 Links Place","EH6 7EZ",julie.heslin@tpsedinburgh.co.uk,"0131 5547516 extn. 205",,"0131 553 1101","<a href = ""http://www.turningpointscotland.com/what-we-do/homelessness/midpoint/"">Midpoint website</a>","55.97305375697811,-3.1642770767211914"
"Narcotics Anonymous",,"Narcotics Anonymous is a fellowship of men and women.  They support each other to solve their problems with drugs.  They share their experience, strength and hope.","Peer support.","The helpline is open 24 hours a day, seven days a week.","A number of meetings are held across Edinburgh.  For the nearest meeting phone or check the website.",,,,"0300 999 1212",,,"<a href=""http://www.ukna.org/"">Narcotics Anonymous website</a>",
"NHS Lothian Substance Misuse Service","North East.  North West.  South East. South West.","The NHS Substance Misuse Service provides in and out patient services.  The Spittal Street Centre is a community based drug and alcohol service for adults aged 18 years and over.  It works with other agencies as part of the Recovery Hubs.  After being assessed at a Recovery Hub people can access a range of services.  This includes treatment, tolerance testing, community detox, counselling, CBT groupwork and relapse prevention.  Staff can act as key workers. They have additional training in mental health.  Inpatient services are provided by the Ritson Clinic at the Royal Edinburgh Hospital.","Substitute prescribing. Community or hospital detox. Relapse prevention. CBT. Counselling. Signposting. Antabuse clinic. Service user group.","Enquiries can be made during normal office hours. For urgent medical advice out of hours call NHS 24 on 08454 24 24 24. Or if it is a life threatening emergency, call 999.","Referrals are accepted from Recovery Hubs, GPs, social work, voluntary sector and other NHS professionals or NHS services.","Spittal Street Centre, 22-24 Spittal Street","EH3 9DU",,"0131 537 8300.",,,,"55.94660455132265,-3.202342987060547"
"North East Recovery Hub",,"The Recovery Hub is a one - stop shop where you can access a wide range of alcohol and drug services and support.  It brings together a range of support services for people with problems associated with alcohol and drugs.","The hub offers a comprehensive range of services in one place, where service users can receive  harm reduction advice, medical treatments, counselling and peer support at the same time.  Support is also available for people caring for someone with a drug and / or alcohol problem.","Monday 10am - 4pm. Tuesday 10 am - 7 pm. Wednesday 10 am - 4 pm. Thursday 10 am - 7 pm. Friday 10am. To 3.30 pm","By telephone or email or coming along to the daily drop - in.","5 Links Place","EH6 7EZ",edinburghservices@turningpointscotland.com,"0131 554 7516",,"0131 553 1101",,"55.97302974228482,-3.164234161376953"
"North Edinburgh Drug and Alcohol Centre","North West.","NEDAC offers a range of services  for individuals affected by drug and alcohol problems.  These are: information and advice, counselling, education and training, complementary therapies and a needle exchange service.  It operates a duty system during normal office hours.  This is for people who need immediate support.  It offers limited support in the evening and at the weekend.","Direct access.  Duty system.  Signposting. Counselling.  Injecting equipment provision.  Complementary therapies.  Dry blood spot testing.","Enquiries can be made during normal office hours, apart from Tuesday when the office opens at 1 pm.","By telephone or in writing.","10 Pennywell Court","EH4 4TZ",mail@nedac.co.uk,"0131 332 2314",,"0131 538 7101","<a href=""http://www.nedac.co.uk"">NEDAC website</a>","55.97110851851963,-3.2534122467041016"
"North West Recovery Hub",,"The Recovery Hub is being developed.   It is a one - stop shop where you can access a wide range of alcohol and drug services and support.  It brings together a range of support services for people with problems associated with alcohol and drugs.","The hub offers a comprehensive range of services in one place, where service users can receive  harm reduction advice, medical treatments, counselling and peer support at the same time.  Support is also available for people caring for someone with a drug and / or alcohol problem.","Monday - Friday 9 am - 4 pm.","By telephone or e mail, or attending the hub where you will be seen straight away.","10 Pennywell Court","EH4 4TZ",mail@nedac.co.uk,"0131 332 2314",,,,"55.971228597800135,-3.2532405853271484"
PrePare,,"PrePare, is an intensive parental substance use service.  It works with women who are pregnant or have just given birth and are affected by drug and / or alcohol problems.  It works with women in the first few months of the post natal period.   The service includes a drop - in on a Thursday afternoon at the Harm Reduction Team's Women's Clinic at the Spittal Street Centre.","An outreach based service.  The team coordinates a package of care and treatment.  It includes: assessment, treatment and care management, maternity support and care.  There is family support through the involvement of early years officers.   Health and development care of the infant by the health visitor.  The drop - in can give sexual health advice and contraception.","Monday to Friday, 8 am to 4 pm.  If you have any worries or concerns about your pregnancy outside these hours, contact the Triage and Assessment Unit at the Royal Infirmary of Edinburgh on 0131 242 2657.","To use the service, call Social Care Direct on 0131 200 2324.  For information and advice, you can also phone directly.","Stenhouse Child and Family Centre, 43 Fords Road","EH11 3HS",cf.prepare@edinburgh.gov.uk.,"0131 455 7936",,"0131 443 9730",,"55.93196684454237,-3.253755569458008"
"Residential Rehabilitation Referral Team, The City of Edinburgh Council","North East.  North West.  South East. South West.","This is a service for people 18 years and over, with a drug or alcohol problem who have already tried to get help to stop using, but are still struggling with their addiction.  You will work with the team to find out what help you need, and why you want to change.  If rehabilitation is recommended for you, then you will decide together what rehab options are best for you.  The team will help you get ready to go to rehab, make sure the process is working for you, and help you when you come out. Most places are for single people, but there are also some places for parents and children.","Assessment and care management. Access to residential rehabilitation and / or detoxification services. Reviews. Laision with rehabilitation units.  Aftercare.","Enquiries can be made during normal office hours.","Telephone, email or referral form.  Self -referrals are accepted.","Health and Social Care Department, The City of Edinburgh Council, Bonnington Centre, 200 Bonnington Road","EH6 5NL",rehab.referrals@edinburgh.gov.uk,"0131 469 6222",,"0131 553 2662","<a href = ""http://www.edinburgh.gov.uk/info/1433/drug_and_alcohol_problems"">Residential Rehabilitation Referrals Team website</a>",
"Rowan Alba - Thorntree Street",,"Rowan Alba's Thorntree Street unit gives permanent supported housing for twelve men aged 50 and over. The men will have alcohol related problems. They will have a history of homelessness or living in insecure accommodation.  The unit can deal with  a range of  care and support needs.","Long - term secure accommodation, housing support and care services for tenants.","The service can be contacted during normal working hours.","Contact your own social worker, or call Social Care Direct on 0131 200 2324.","19 Thorntree Street","EH6 8PU",ann.logan@rowanalba.org,"0131 555 5240",,,"<a href=""http://www.rowanalba.org/services.php#Thorntree"">Rowan Alba - Thorntree Street website</a>","55.96791427284643,-3.1708860397338867"
"Sacro - Criminal Justice Services",,"The Community Links Centre (CLC) is a service for short-term prisoners returning to live in Edinburgh.   The three main prisons served are HMP Edinburgh, HMP YOI and HMP Cornton Vale.  Before they are released, the prisoners get their needs assessed.  This lets arrangements to be made for appointments they will need when they come out of prison.","Throughcare.  Case management. Key working.  Mentoring.  Groupwork.  Peer support for addictions.  Intensive one to one support.","Enquiries can be made during normal office hours. Drop - in service Monday - Friday 1 pm.","Referrals are  made by prison - based social work teams, Scottish Prison Service staff, self-referrals, Phoenix Futures or any other agency.","23 Dalmeny Street","EH6 8PG",info@lothiancjs.sacro.org.uk,"0131 622 7500",,"0131 622 7525","<a href=""http://www.sacro.org.uk/html/edinburgh__community_justice_c.html"">Community Justice Services website</a>","55.96505604002186,-3.174748420715332"
"Scottish Families Affected by Drugs",,"They facilitate a network of family support groups across Scotland. These groups are for relatives, partners and friends who are affected by a loved one’s drugs misuse. They provide a welcoming and non judgemental environment for sharing stories and experiences. SFAD also provide information to friends and families, to help them support their relative and to help themselves. They do this through their website and helpline phone and email service.","Helpline, information website, local support groups",,,"21 Elmbank Street, Glasgow","G2 4PB",helpline@sfad.org.uk,"Helpline 08080 10 10 11",,,"<a href=""http://www.sfad.org.uk/"">Scottish Families Affected by Drugs website</a>",
"Serenity Cafe",,"This cafe is a social enterprise run by volunteers in recovery.  It is open from 9am to 5pm.  They offer lots of activities, during the day and some evenings, including arts, fitness, yoga, creative writing, sewing, women's group, walking group, savings group and chess.  They also have a café-club night on last Friday of every month 7pm till late.  Families are welcome, and there is baby changing, high chairs and toys. Activities on Friday afternoons. They run a weekly thrift shop.  Learning programmes: SVQ 2 Community Development and Recovery Coaching.  Group and worker/client visits welcome.  Contact in advance.  Clients wishing to volunteer can also meet a member of staff to discuss available roles.","Volunteering.  Learning and personal development.","Monday to Friday 9 am - 5 pm. Some evenings and weekends depending on programme.","Referral not necessary, people can use the cafe and programme at any time. Key working in the cafe area is welcome.","Comas, 8 Jackson's Entry","EH8 8PJ",ruth@comas.org.uk,"07980 844350",,,"<a href=""http://www.comas.org.uk/index.php/recovery-projects/serenity-cafe-project.html"">Serenity Cafe website</a>","55.950929908097635,-3.177623748779297"
"Simpson House Counselling & Recovery","North East.  North West.  South East. South West.","Simpson House Counselling & Recovery provides a counselling service for people aged 16 and over affected by drug use. They work in Edinburgh and in Edinburgh Prison.  They offer one - to - one counselling and couple counselling. They also have various groups including a Choose Life group.  They offer full support to people who have used the service in the past, and who now want to volunteer with Simpson House and CrossReach services.","Counselling.  Recovery.","Monday and Wednesday 9 am - 8 pm . Tuesday, Thursday and Friday  9 am - 5 pm.","Only self-referrals are accepted, which can be made via telephone, writing or email.  People can attend groups without any prior contact with the service.  Speak with your worker if you are interested in the volunteer programme.","52 Queen Street","EH2 3NS","simpsonhousecounselling@ crossreach.org.uk","0131 225 1054 / 6028",,"0131 220 0064","<a href = ""http://www.simpson-house.org/counselling.htm"">Simpson Housing Counselling website</a>","55.95393334381698,-3.203415870666504"
"SMART Recovery","North East.  North West.  South East. South West.","SMART - Self Management And Recovery Training is a secular, mutual support movement.  It is for people who want to be free from their addictive behaviour.  SMART does not believe in labels or that addiction is a disease.  It views addiction as a set of behaviours that are harmful to the individual.  Through group meetings SMART uses a set of tools and techniques to help people to learn how to manage themselves and their lives in a more helpful way.   Meetings are held in a number of venues through the city.  Details are on the SMART website.","Mutual aid using a four point programme: 1. Motivation to stop and stay stopped.  2. Deal effectively with urges and cravings.  3. Deal effectively with any type of emotional upset.  4. Promote a Lifestyle Balance that nurtures recovery and prevents relapse.","Enquiries can be made during normal office hours.","By telephone email or visit the website to find local meetings.",,,jsimpson@smartrecovery.org.uk,,"0797 9904002",,"<a href = ""http://www.smartrecovery.org.uk/"">SMART website</a>",
"Sorted Project","South East.","Sorted is an outreach life skills recovery service for people aged 18 and over.  They work with people who are in recovery from substance dependency and mental health problems.  The service works best with clients at the post - treatment, pre - employability stage.  It can be provided in group workshops or on a one to one basis. They offer home visits or they can meet with the person in a community setting.  They offer some peer support, and are working with employers to provide training and volunteer work placements.","Recovery life skills. Peer support.  Vocational placements.","By appointment.","By telephone, email, text or in writing. Referral forms are available to download on the website.","The Sorted  Project, The Melting Pot, Thorn House, 5 Rose Street","EH2 2PR",karen@sortedproject.co.uk,"0131 243 2657","07425 147635",,"<a href=""http://www.sortedproject.co.uk/"">Sorted Project website</a>",
"South East Recovery Hub",,"The Recovery Hub is a one -stop shop where you can access a wide range of alcohol and drug services and support.  It brings together a range of support services for people with problems associated with alcohol and drugs.","The hub offers a comprehensive range of services in one place, where service users can receive  harm reduction advice, medical treatments, counselling and peer support at the same time.  Support is also available for people caring for someone with a drug and / or alcohol problem.","Monday - Friday 10 am - 4 pm.","By telephone or email or coming along to the daily drop - in.","2 Craigmillar Castle Road","EH16 4BX",admin@castleproject.org.uk,"0131 661 5294",,"0131 656 6230",,"55.93203896503008,-3.1411027908325195"
"South West Recovery Hub",,"The Recovery Hub is being developed.   It is a one - stop shop where you can access a wide range of alcohol and drug services and support.  It brings together a range of support services for people with problems associated with alcohol and drugs.  It has a number of bases.  To get help from the service your first visit should be to ESL House, 555 Gorgie Road or Sighthill Health Centre, 380 Calder Road.","The hub offers a comprehensive range of services in one place, where service users can receive  harm reduction advice, medical treatments, counselling and peer support at the same time.  Support is also available for people caring for someone with a drug and / or alcohol problem.","ESL House:  Monday, Tuesday and Friday 10 am - 4 pm, Sighthill Health Centre:  Wednesday and Thursday 10 am - 4 pm.","By telephone, e mail or by going to ESL House or Sighthill Health Centre (see opening times).","1  Murrayburn Gate","EH14 2SS",CHAI@mail.wh1.org.uk,"0131 442 2465",,,,"55.9156401202499,-3.2833242416381836"
"Sunflower Garden","Participates in  North East Recovery Hub","Sunflower Garden provides a range of support for children and young people who are affected by drug and alcohol use in their families.   It works with children for P1 to S2.  Its Befriending Service is for children and young people who are affected by parental substance use.  Befriending is available from 5 to 16 years old.","Therapeutic support for children, with a range of individual and group work provision.","9 am - 5 pm Monday to Friday.","By telephone, writing or email.","52 Queen Street","EH2 3NS",sunflower@crossreach.org.uk,"0131 220 2488",,"0131 220 0064","<a href = ""http://www.simpson-house.org/sunflowergarden.htm"">Sunflower Garden website</a>","55.9539813968947,-3.203287124633789"
"The Junction",,"The Junction provides alcohol education and support to young people aged 12 - 21 years.  They engage with young people through drop - ins, brief interventions and one to one support.  They deliver sessions in schools and youth clubs in Leith and North Edinburgh.","One to one support.  Counselling.  Drop-in.  Education and prevention.","Office hours 10 am - 5 pm weekdays.  Please see website for drop - in times.","By telephone,  or letter.","160 - 162 Great Junction Street","EH6 5LJ",info@the-junction.org,"0131 553 0570",,,"<a href=""http://www.the-junction.org/about.php"">The Junction website</a>","55.973702148062415,-3.176422119140625"
"Turning Point Scotland - Leith Project","North East.","The Leith Project provides one to one support to people living in north east Edinburgh who have problems due to alcohol or drug use.  Home visits  can be arranged.  The service is not time limited. They work with people no matter where they are in their personal recovery journey.","Drop - in service.  Needle exchange.   Ear acupuncture.   Information and advice.  Benefits and housing advice.   One to one support.  BBV Testing.  Discover Recovery Groups.  Access to CARS groupwork programme and Midpoint Tenancy Support Service.","Monday and Wednesday 9 am - 5 pm, Tuesday and Thursday 9 am - 8 pm, Friday 9 am - 4.30 pm.  Drop -in hours: Monday and Wednesday 10 am - 4 pm, Tuesday and Thursday 10 am - 7 pm, Friday 10 am - 4.15 pm.","Individuals are encouraged to access the North East Recovery Hub to have their support needs assessed.  Written referrals are accepted on a referral form which can be obtained from the service.","5 Links Place","EH6 7EZ",edinburghservices@turningpointscotland.com,"0131 554 7516",,"0131 553 1101","<a href=""http://www.turningpointscotland.com/what-we-do/substance-misuse/turning-point-leith/""> Turning Point Leith website</a>","55.97307777165651,-3.1643199920654297"
"VOCAL - Family Support  Addictions","South East. South West.","This service is for people aged 18 years and over who care for and are affected by someone else's drug or alcohol use.  Service users can have one to one emotional support and counselling.  There are monthly peer support groups on the first Tuesday and first Thursday of the month.  Training for carers and families affected by alcohol use is run in partnership with NHS Lothian.  There are also opportunities for carers to take a short break.","Information.  One to one support.  Peer and group support.  Training.   Short breaks.","Open during normal office hours and Tuesdays 9 am - 7 pm.  Evenings appointments can be arranged.","By telephone or in writing.","8 Johnston Terrace","EH1 2PW",fsa@vocal.org.uk,"0131 622 6262",,"0131 622 7621","<a href = ""http://www.vocal.org.uk/addictions.html"">VOCAL Family Support Addictions website</a>","55.94841284952586,-3.1956160068511963"
"Wester Hailes Youth Agency",,"The Youth Agency runs alcohol and drug awareness sessions in local primary schools.  The worshops are for Primary 6 and 7 pupils.  It also trains local pupils to provide peer education workshops. The workshops deal with alcohol and drug issues.","Education. Peer support.","Enquires can be made during normal office hours.","Workshops are open to P6 and P7 and S1 and S2 pupils in the local area.","12 Dumbryden Road","EH14 2AB",info@youthagency.net,"0131 442 4015",,,"<a href=""http://www.youthagency.net/"">Wester Hailes Youth Agency website</a>","55.919271547591926,-3.272552490234375"
