Name,"Days and times","Services provided","How to arrange a place","How to access directly",Venue,Postcode,"Phone number",Email,"Area served","Service website","More information from Care Inspectorate",Location,"Second location"
"North Edinburgh Dementia Care","Various meeting times","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"The Seagrove Centre, 13 Fleming Place","EH7 6GY","0131 553 7147",enquiries@nedc.org.uk,"North East","<a href=""http://www.nedc.org.uk/North_Edinburgh_Dementia_Care/Home_and_News.html"">North Edinburgh Dementia Care</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004075519"">Quality grades and inspection reports</a>","55.96709765643975,-3.147153854370117",
"North Merchiston","Various meeting times","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"29 Bryson Road","EH11 1DY","0131 337 8568",,"South West",,"<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003016216"">Quality grades and inspection reports</a>","55.937952388201175,-3.222641944885254",
"North West Carers","Monday and Wednesday 3.30pm - 5.30pm.","Carers Support","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"36 Muirhouse Crescent","EH4 4QL","0131 315 3130",,"North West","<a href=""http://www.nwcarers.org.uk/adult-services.html"">North West Carers</a>",,"55.97119257405512,-3.254549503326416",
"Northfield and Willowbrae","Various meeting times","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"New Restalrig Church Centre, 1a Willowbrae Road","EH8 7EZ",,,"North East",,,"55.953885290679594,-3.147110939025879",
Oaklands,"Various meeting times","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"35 Canaan Lane","EH10 4SG","0131 447 0770",,"South Central",,"<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003016216"">Quality grades and inspection reports</a>","55.92965891805398,-3.202042579650879",
"Open Door","Tuesday, 10.30am - 3pm. Thursday, 10.30am - 2.30pm. Saturday, 10am - 3pm.","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Self referral or referral from a professional.","420 Morningside Road","EH10 5HY","0131 447 9757",,"South Central","<a href=""http://www.theopendoor-morningside.org.uk/join-us-2/day-care-services/"">Open Door</a>",,"55.92559567177729,-3.2095956802368164",
"Orcadia Creative Learning Centre","Various meeting times","Day activities for people with a learning disability","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"3 Windsor Place","EH15 2AJ","0131 669 1075",orcadia1@btconnect.com,Edinburgh,"<a href=""http://www.orcadiacentre.org.uk/"">Orcadia Creative Learning Centre</a>",,"55.95189103287788,-3.112607002258301",
"Oxgangs Care","Various meeting times and locations","One to one support, lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"12 Firrhill Neuk","EH13 9FF","0131 445 3332",oxgangscare@gmail.com,"South Central","<a href=""http://oxgangs-care.weebly.com/day-services.html"">Oxgangs Care</a>",,"55.91149422570151,-3.2229048013687134",
"Peffer Bank Centre - City of Edinburgh Council","Monday to Friday","Day service for people with a learning disability","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"Peffer Bank","EH16 4UY","0131 200 2324",socialcaredirect@edinburgh.gov.uk,Edinburgh,,"<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003016211"">Quality grades and inspection reports</a>","55.933673660077716,-3.140716552734375",
"Pilmeny Development Project","Various meeting times and locations","Various services including groups for children and young people, social and leisure activities for older people, and groups supporting adult wellbeing.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Self referral","19-21 Buchanan Street","EH6 8SQ","0131 553 2559",pilmenyproject@btconnect.com,"North East","<a href=""http://www.pilmenydevelopmentproject.co.uk"">Pilmeny Development Project</a>",,0,
"Pilton Equalities Project (PEP)","Various meeting times and locations","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,Various,"EH4 4EL","0131 315 4466",pepequalities@btconnect.com,"North West","<a href=""http://www.pepequalities.co.uk/clubs_support_services/daycare_clubs.html"">PEP Day clubs</a>",,"55.97203311936597,-3.2436060905456543",
"Places for People - Pleasance Day Centre","Wednesday and Thursday 9am -5pm","Lunch clubs and day services for people over 60, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"7 West Adam Street","EH8 9SX","0131 558 3728",,"South East","<a href=""http://www.placesforpeoplecareandsupport.co.uk/find_a_service/older_people/pleasance_day_centre.aspx"">Pleasance Day Centre</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003055527"">Quality grades and inspection reports</a>","55.947181293475786,-3.1833314895629883",
"Portlee - City of Edinburgh Council","Monday - Friday","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,,"EH7 6BU","0131 200 2324",socialcaredirect@edinburgh.gov.uk,"North East",,"<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2006116188"">Quality grades and inspection reports</a>","55.96332658655456,-3.1646203994750977",
"Portobello Monday Centre",Mondays,"We offer informal day care for people with dementia, respite for carers and a rewarding volunteering experience for our helpers.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"Baptist Church Hall, 185 Portobello High Street","EH15 2EW","0131 657 4264",,"North East",http://www.portobellomondaycentre.co.uk,,"55.9494181,-3.099084199999993",
"Portobello Older Peoples Project","Tuesday and Wednesday every week from 10.00am - 2.30pm","Lunch clubs and day services for people over 65. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"Baptist Church Hall, 185 Portobello High Street","EH15 1EU ","0131 657 4264",,"South East",,,"55.94939205882168,-3.0990028381347656",
"Prestonfield Neighbourhood Project","Monday - Friday, 11am - 3pm","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"63 Prestonfield Avenue","EH16 5EX","0131 620 7222",prestonfieldnp@southedinburgh.net,"South East","<a href=""http://www.southedinburgh.net/pnp"">Prestonfield Neighbourhood Project</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004076912"">Quality grades and inspection reports</a>","55.93324095339487,-3.159170150756836",
"Queensferry Care","Monday - Friday, 10am - 3pm","Lunch clubs and day services for people over 65, including people with dementia and people with physical disabilities. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"The Haven 25b Burgess Road","EH30 9JA","0131 331 5570",mail@qccc.org.uk,"North West","<a href=""http://qccc.org.uk/index.php/services/day-care/"">Queensferry Care website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003043908"">Quality grades and inspection reports</a>","55.98664368147871,-3.3936595916748047",
"Redwoods Caring Foundation - Telfie Central","Various meeting times","Day service for people with a learning disability","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Self referral or referral from a parent","Telferton, Portobello","EH16 6RZ","0131 669 4817",office@redwoods.org.uk,Edinburgh,"<a href=""http://www.redwoods.org.uk/current-services/telfie-central"">Redwoods - Telfie Central</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2010275140"">Quality grades and inspection reports</a>","55.91288626148584,-3.159492015838623",
"Ripple Project","Various meeting times","Lunch clubs and day services for people over 65, including people with dementia, and learning disabilities. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"198 Restalrig Road South","EH7 6DZ","0131 554 0422",rippleproject01@btconnect.com,"North East","<a href=""http://www.rippleproject.co.uk"">Ripple Project</a>",,"55.96342266933043,-3.1537628173828125",
RNIB,"Various meeting times","Social activities for people who are blind or have a visual impairment","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Self referral","12-14 Hillside Crescent","EH7 5DZ","0131 651 3140",rniblothian@rnib.org.uk,Edinburgh,"<a href=""http://www.rnib.org.uk/aboutus/contactdetails/scotland/contactscotland/Pages/lothians_scot.aspx"">RNIB</a>",,"55.95823713230996,-3.1792547928125714",
"Scottish Autism","Monday - Friday, 9am - 4pm. Wednesday, 9am - 9pm.","Day service  for people with autism.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,Musselburgh,"EH21 6JA","0131 665 9267",lothian@scottishautism.org.uk,"Lothian and Borders","<a href=""http://www.scottishautism.org/adult-services/lothian-and-borders/"">Scottish Autism</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003011034"">Quality grades and inspection reports</a>","55.94413702937037,-3.0551014847878832",
Silverlea,"Various meeting times","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"14 Muirhouse Parkway","EH4 5EU","0131 336 4446",,"North West",,"<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003016216"">Quality grades and inspection reports</a>","55.92965891805398,-3.202042579650879",
"The Jewel Day Service","Monday - Friday","Day service for people over 65, including people with dementia. Respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,,"EH15 3JT","0131 200 2324",socialcaredirect@edinburgh.gov.uk,"South East",,"<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2006116188"">Quality grades and inspection reports</a>","55.93997139914653,-3.117499351501465",
"Tiphereth Day Service - Indoor","Monday - Friday, 9.30am - 3.30pm.","Indoor day activities for people with a learning disability.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Self referral","55 Torphin Road","EH13 0PQ","0131 441 2401",admin@tiphereth.org.uk,Edinburgh,"<a href=""http://www.tiphereth.org.uk/working-together/indoor-work/"">Tipereth Day Service - Indoor</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004073162"">Quality grades and inspection reports</a>","55.89812753772985,-3.27667236328125",
"Tiphereth Day Service - Outdoor","Monday - Friday, 9.30am - 3.30pm.","Outdoor day activities for people with a learning disability.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Self referral","53 Torphin Road","EH13 0PQ","0131 441 3479",admin@tiphereth.org.uk,Edinburgh,"<a href=""http://www.tiphereth.org.uk/working-together/outdoor-work/"">Tipereth Day Service - Outdoor</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004073162"">Quality grades and inspection reports</a>","55.8985125146483,-3.2747840881347656",
"Visualise Scotland","Various meeting times","Day service for people who are blind or have a visual impairment","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Referral from GP or occupational therapist","Norton Park, 57 Albion Road","EH7 5QY","0131 475 2337",info@visualise.org.uk,Edinburgh,"<a href=""http://www.visualise.org.uk"">Visualise</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2007151815"">Quality grades and inspection reports</a>","55.961308793155666,-3.1665515899658203",
