6VT Edinburgh City Youth Cafes,6VT Youth Cafe,EH1 2JL,6 Victoria Terrace Edinburgh,EH1 2JL,6vtyouthcafe@tiscali.co.uk,0131 220 2108,http://www.6vt.info,1,0,0,,1,1,0,,,,,,,,0,0,0,0,1,1,1,1,,0,,,1,1,1,0,
103rd City Of Edinburgh Guide Unit,East Craigs Church Centre Bughtlin Market,EH12 8XP,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
114th City Of Edinburgh Guide Unit,Duddingston Kirk Hall,EH15 3PX,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
116th City Of Edinburgh Guide Unit,"Portobello Old Parish Churd, Bellfield Street",EH15 2BP,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
117th City Of Edinburgh Guide Unit,Greenside Parish Church Halls 1a Royal Terrace,EH7 5AB,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
120th City Of Edinburgh Guide Unit,"St Catherine Argyle Church, Grange Roac",EH9 1TY,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
125th City Of Edinburgh Guide Unit,Wardie Church,EH5 3EJ,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
127th City Of Edinburgh Guide Unit,Craigmillar Park Church Craigmillar Park  Edinburgh,EH16 5PF,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
132nd City Of Edinburgh Guide Unit,St Davids Church Broomhouse Crescent,EH11 3RH,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
134th City Of Edinburgh Guide Unit,Craiglockhart Parish Church Craiglockhart Drive North,EH14 1HS,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
135th City Of Edinburgh Guide Unit,Royal Blind School 2b Craigmillar Park  EDINBURGH,EH16 5NA,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
135th City Of Edinburgh Senior Section Unit,Royal Blind School 2b Craigmillar Park  EDINBURGH,EH16 5NA,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
137th City Of Edinburgh Guide Unit,"Salvation Army, Gorgie Road",EH11 2RB,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
138th A City Of Edinburgh Guide Unit,St Phillips Church Joppa,EH15 2DH,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
142nd City Of Edinburgh Guide Unit,"North Leith Parish Church, Madeira Street",EH6 4AW,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
148th City Of Edinburgh Guide Unit,"St Stephen's Comely Bank Church, 10 Comely Bank Road",EH4 1DW,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
155th City Of Edinburgh Guide Unit,St Stephens Church 10 Comely Bank Road,EH4 1DW,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
157th A City Of Edinburgh Guide Unit,St Columbas Church 6-7 Muirdale Terrace,EH4 3QW,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
157th City Of Edinburgh Guide Unit,"St Columba's Parish Church, Blackhall",EH4 3QU,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
162nd A City Of Edinburgh Guide Unit,Greenbank Church,EH10 6ES,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
162nd City of Edinburgh Guide Unit,2A Braidburn Terrace Greenbank Church  EDINBURGH,EH10 6ES,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
166th City Of Edinburgh Guide Unit,"St Cuthbert's Ch , Slateford Road",EH14 1PT,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
170th City Of Edinburgh Guide Unit,Drylaw Parish Church,EH4 2RR,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
171st City Of Edinburgh Guide Unit,Duddingston Primary School,EH15 1SW,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
174th City Of Edinburgh Guide Unit,24 Pennywell Road,EH4 4HD,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
174th City of Edinburgh Senior Section Unit,"Old Kirk, Pennywell Road",EH4 4HD,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
17th City Of Edinburgh Guide Unit,Slateford/Longstone Parish Church,EH14 2JW,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
180th City Of Edinburgh Guide Unit,St John's Primary School,EH15 1NB,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
183rd City Of Edinburgh Guide Unit,St Anne's Church Hall Kaimes Road  Edinburgh,EH12 6JR,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
185th City Of Edinburgh Guide Unit,St Nicholas Church 124 Sighthill Loan,EH11 4NT,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
186th City Of Edinburgh Guide Unit,Charlotte Baptist Church 204 Rose Street,EH2 4AZ,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
186th City Of Edinburgh Senior Section Unit,Charlotte Baptist Church 204 Rose Street,EH2 4AZ,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
188th City Of Edinburgh Guide Unit,Cluny Church Centre 1 Cluny Drive  EDINBURGH,EH10 6DN,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
191st City Of Edinburgh Guide Unit,St Thomas Church 75-79 Glasgow Road,EH12 8LJ,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
193rd B City Of Edinburgh Guide Unit,22 Dreghorn Loan,EH13 0DE,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
193rd City Of Edinburgh Guide Unit,Colinton Parish Church Dell Road,EH13 0JR,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
195th A City Of Edinburgh Guide Unit,"St Ninians Church of Scotland, 144 St Johns Road",EH12 8AY,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
197th City Of Edinburgh Guide Unit,Cramond Kirk Hall,EH4 6NS,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
198th A City Of Edinburgh Guide Unit,Fairmilehead Parish Church 1A Frogston Road West  EDINBURGH,EH10 7AA,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
198th B City Of Edinburgh Guide Unit,Fairmilehead Parish Church,EH10 7AA,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
198th City Of Edinburgh Guide Unit,Fairmilehead Parish Church,EH10 7AA,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
1st Braid Senior Section Unit,Cluny Church Centre 1 Cluny Drive  EDINBURGH,EH10 6DN,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
1st Clermiston Senior Section Unit,St Andrews Church Hall,EH3 7JF,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
1st Colinton Senior Section Unit,Colinton Parish Church Dell Road,EH13 0JR,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
1st Currie Guide Unit,Currie Guide Hut,EH14 5NY,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
1st Davidsons Mains Senior Section Unit,1 Quality Street,EH4 5BB,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
1st Kirkliston Guide Unit,Thomas Chalmers Church Centre The Square  Kirkliston,EH29 9AX,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
1st Liberton Senior Section Unit,Liberton Kirk Halls,EH16 6RY,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
1st New Leith Senior Section Unit,1a Royal Terrace,EH7 5AB,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
1st South Queensferry Guide Unit,"Queensferry Scout Hall, Port Edgar",EH30 9SQ,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
203rd City Of Edinburgh Guide Unit,"St Martins Parish Church, Bellfield Street",EH15 2BP,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
211A City Of Edinburgh Guide Unit,St Christopher's Church,EH7 6RQ,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
215th City Of Edinburgh Guide Unit,St Andrews Church Hall,EH3 7JF,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
217th City Of Edinburgh Guide Unit,Davidson's Mains Parish Church,EH4 5BB,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
224th City Of Edinburgh Guide Unit,Drumbrae Primary School,EH4 7HP,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
229th City Of Edinburgh Guide Unit,Cramond Kirk Hall,EH4 6NS,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
239th City Of Edinburgh Guide Unit,Clermiston Primary School 18 Parkgrove Place  EDINBURGH,EH4 7NP,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
23rd City Of Edinburgh Guide Unit,Polwarth Parish Church 36-38 Polwarth Terrace,EH11 1LU,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
27th A City Of Edinburgh Guide Unit,"Reid Memorial Church, West Savile Terrace",EH9 3HY,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
2nd Balerno Guide Unit,Balerno Community Centre,EH14 7EH,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
36th City Of Edinburgh Guide Unit,South Leith Parish Church,EH6 6BS,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
3rd Currie Guide Unit,Currie Guide Hut,EH14 5NY,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
3rd South Queensferry Guide Unit,"Queensferry Scout Hall, Port Edgar",EH30 9SQ,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
41st City Of Edinburgh Guide Unit,Pilrig Park School,EH6 8QS,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
43rd City Of Edinburgh Guide Unit,St Andrew's & St Georges,EH2 2PA,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
4th City Of Edinburgh Guide Unit,St Serfs church hall 1a Clark Road,EH5 3NP,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
53rd City Of Edinburgh Guide Unit,Duke Street Church,EH6 8HL,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
59th City Of Edinburgh Guide Unit,St. Fillians Church 8 Buckstone Drive  EDINBURGH,EH10 6PD,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
66th A City Of Edinburgh Guide Unit,"St John's Church, Oxgangs Road North",EH13 9LX,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
72nd City Of Edinburgh Guide Unit,Mayfield Salisbury Church,EH9 2NG,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
73rd City Of Edinburgh Guide Unit,Corstorphine Old Parish Church,EH12 7ST,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
74th A City Of Edinburgh Guide Unit,Juniper Green Parish Church,EH13 0NJ,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
82nd City Of Edinburgh Guide Unit,Richmond Craigmillar Church Hall,EH16 4PA,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
89th City Of Edinburgh Guide Unit,St Andrew's Church,EH6 8HT,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
91st City Of Edinburgh Senior Section Unit,"Portobello Old Parish Church, Bellfield Street",EH15 2BP,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
93rd A City Of Edinburgh Guide Unit,Liberton Kirk Halls,EH16 6RY,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
93rd City Of Edinburgh Guide Unit,Liberton Church Hall 28-30 Kirkgate  EDINBURGH,EH16 6RY,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
95th City Of Edinburgh Guide Unit,Carrick Knowe Parish Church,EH12 7DR,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
9th City Of Edinburgh Guide Unit,London Road Church 1a Easter Road,EH7 5PH,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
Cramond Senior Section Unit,Cramond Kirk Hall,EH4 6NS,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
Kirkliston Senior Section Unit,Thomas Chalmers Church Centre The Square  Kirkliston,EH29 9AX,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
Queensferry Senior Section Unit,"Queensferry Scout Hall, Port Edgar",EH30 9SQ,33 Melville Street,EH3 7JF,admin@girlguiding-edinburgh.org.uk,0131 225 4154,http://www.girlguiding-edinburgh.org.uk/,,1,1,,,,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,,1,0,
The Yard Adventure Centre,The Yard Adventure Centre,EH3 5EH,22 Eyre Place Lane,EH3 5EH,admin@girlguiding-edinburgh.org.uk,0131 476 4506,http://www.theyardscotland.org.uk,1,0,0,,1,1,0,,,,,,,,0,1,0,1,1,,1,,,0,1,1,1,1,1,1,
City of Edinburgh Council - Bingham Community Centre,Bingham Community Centre,EH15 3HZ,31 Bingham Avenue,EH15 3HZ,cld-bingham@ea.edin.sch.uk,0131 669 8778,http://www.joininedinburgh.org/bingham/ ,,1,1,,,1,0,,,,,,,,1,1,0,1,0,,1,1,,0,,,,,1,0,
City of Edinburgh Council - Cameron House Community Education Centre,Cameron House Community Education Centre,EH16 5EU,34 Prestonfield Avenue Edinburgh,EH16 5EU,cld-cameronhouse@ea.edin.sch.uk,0131 667 3762,http://www.joininedinburgh.org/cameronhouse ,,1,0,,1,1,0,,,,,,,,1,1,1,1,1,,0,,,0,,,1,,1,0,
City of Edinburgh Council - Carrickvale CEC,Carrickvale CEC,EH11 3HH,"2, Saughton Mains Street, Edinburgh",EH11 3HH,cld-carrickvale@ea.edin.sch.uk,0131 443 6971,http://www.joininedinburgh.org/carrickvale,,1,0,,1,1,0,,,,,,,,1,1,0,0,0,,1,,,0,1,1,1,,1,0,
City of Edinburgh Council - Castleview Community Centre,Castleview Community Centre,EH16 4DW,"76 Craigmillar Castle Avenue, Edinburgh",EH16 4DW,cld-castleview@ea.edin.sch.uk,0131-661-4064,http://www.joininedinburgh.org/castleview,,1,1,,,1,0,,,,,,,,0,0,0,0,0,,1,,,0,,,1,,0,1,
City of Edinburgh Council - Clovenstone Community Centre,Clovenstone Community Centre,EH14 3EY,"54 Clovenstone Park, Edinburgh",EH14 3EY,cld-clovenstone@ea.edin.sch.uk,0131 453 4561,http://www.joininedinburgh.org/clovenstone ,,1,0,,1,1,0,,,,,,,,1,1,0,0,1,,1,1,1,0,1,1,1,,1,0,
City of Edinburgh Council - Craigentinny Community Centre,Craigentinny Centre,EH7 6JE,"9 Loaning Road, Edinburgh",EH7 6JE,cld-craigentinny@ea.edin.sch.uk,0131 661 8188,http://www.joininedinburgh.org/craigentinny ,,1,0,,1,1,0,,,,,,,,1,1,0,1,1,1,1,1,,0,,1,1,,1,0,
City of Edinburgh Council - Craigmount Community Wing,Craigmount Community Wing,EH12 8NH,Craigs Road,EH12 8NH,cld-craigmount@ea.edin.sch.uk,0131 339 8278,http://www.joininedinburgh.org/craigmount ,,1,0,,1,1,0,,,,,,,,0,0,1,0,1,,1,1,,0,1,,1,,1,0,
City of Edinburgh Council - Duncan Place Resource Centre,Duncan Place Resource Centre,EH6 8HW,"4 Duncan Place, Edinburgh",EH6 8HW,cld-duncanplace@ea.edin.sch.uk,0131 554 1509,http://www.joininedinburgh.org/duncanplace ,,1,1,,,1,0,,,,,,,,0,1,0,0,1,,0,,,0,,,1,,1,0,
