"Street Name","Locality","Street Adoption Status","Property Notice Description"
"Broomhall Loan","Broomhall","Adopted","BROOMHALL LOANFrom BROOMHALL ROAD extending south-westwards to BROOMHALL TERRACE.Carriageways and adjacent footways adopted for maintenance."
"Broomhall Park","Broomhall","Adopted","BROOMHALL PARKFrom BROOMHALL ROAD extending south-westwards to BROOMHALL TERRACE.Carriageways and adjacent footways adopted for maintenance."
"Broomhall Place","Broomhall","Adopted","BROOMHALL PLACEFrom BROOMHALL ROAD extending south-westwards to BROOMHALL CRESCENTincluding a cul-de-sac on the south side. Carriageways and adjacent footways adopted for maintenance."
"Broomhall Road","Broomhall","Adopted","BROOMHALL ROADFrom BROOMHALL CRESCENT extending northwards and westwards to MEADOW PLACE ROAD. Including footpath between Nos 68-70 leading to BROOMHOUSE ROADCarriageways and adjacent footways adopted for maintenance."
"Broomhall Terrace","Broomhall","Adopted","BROOMHALL TERRACEFrom BROOMHALL GARDENS extending north-westwards to BROOMHALL ROAD.Carriageways and adjacent footways adopted for maintenance."
"Broomhouse Avenue","Broomhouse","Adopted","BROOMHOUSE AVENUEFrom BROOMHOUSE DRIVE extending south-eastwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance. Including footpath leading to BROOMHOUSE PATH."
"Broomhouse Bank","Broomhouse","Adopted","BROOMHOUSE BANKFrom BROOMHOUSE STREET SOUTH extending north, east & returning south to form a square with an access road extending north to BROOMHOUSE PLACE SOUTH. Including parking.Carriageways and adjacent footways adopted for maintenance."
"Broomhouse Cottages","Broomhouse","Adopted","BROOMHOUSE COTTAGESFrom Broomhouse Park southwards - a footway serving No.s1-8 Broomhouse Cottages.  Footway adopted for maintenance."
"Broomhouse Cottages East","Broomhouse","Adopted","BROOMHOUSE COTTAGES EASTFrom BROOMHOUSE PARK extending southwards to BROOMHOUSE STREET NORTH.Carriageways and adjacent footways adopted for maintenance. Including the north/south pathways on the boundary."
"Broomhouse Cottages West","Broomhouse","Adopted","BROOMHOUSE COTTAGES WESTFrom BROOMHOUSE PARK extending southwards to BROOMHOUSE STREET NORTH.Carriageways and adjacent footways adopted for maintenance. Including north/south pathways on the boundary."
"Broomhouse Court","Broomhouse","Adopted","BROOMHOUSE COURTFrom BROOMHOUSE CRESCENT extending north to BROOMHOUSE TERRACE with a cul-de-sac on the east side including  Including parking areas:  on south side of turning circle & opposite No.8 .Carriageways and adjacent footways adopted for maintenance."
"Broomhouse Crescent","Broomhouse","Adopted","BROOMHOUSE CRESCENTFrom CALDER ROAD extending northwards and eastwards to SAUGHTON ROAD with a branch extending north-westwards to the junction of BROOMHOUSE PLACE and BROOMHOUSE MEDWAY.   Also including the cul-de-sac branch south ending in a hammerhead opposite No.95.Carriageways and adjacent footways adopted for maintenance."
"Broomhouse Drive","Broomhouse","Adopted","BROOMHOUSE DRIVEFrom BROOMHOUSE ROAD extending eastwards to SAUGHTON ROAD.Carriageways and adjacent footways adopted for maintenance. Including the double pathways on the south side to:- BROOMHOUSE Park,BROOMHOUSE GARDENS, BROOMHOUSE GARDENS EAST, BROOMHOUSEGARDENS WEST and footpaths to BROOMHOUSE ROAD and AVENUE."
"Broomhouse Gardens","Broomhouse","Adopted","BROOMHOUSE GARDENSFrom BROOMHOUSE DRIVE extending south-eastwards to BROOMHOUSE PARK.Carriageways and adjacent footways adopted for maintenance. Including two footpaths"
"Broomhouse Gardens East","Broomhouse","Adopted","BROOMHOUSE GARDENS EASTFrom BROOMHOUSE DRIVE extending south-eastwards and from BROOMHOUSE PARK extendingnorth-westwards. Carriageways and adjacent footways adopted for maintenance. Including two footpaths."
"Broomhouse Gardens West","Broomhouse","Adopted","BROOMHOUSE GARDENS WESTFrom BROOMHOUSE DRIVE extending south-eastwards to BROOMHOUSE PARK. Carriageways and adjacent footways adopted for maintenance. Including two footpaths."
"Broomhouse Grove","Broomhouse","Adopted","BROOMHOUSE GROVEFrom BROOMHOUSE STREET SOUTH extending northwards, westwards and northwards to BROOMHOUSE PLACE NORTH including  branch north and west with a crescent on the east side of the branch.  Includes parking area at gable end of No. 12 Broomhouse Market.Carriageways and adjacent footways adopted for maintenance."
"Broomhouse Loan","Broomhouse","Adopted","BROOMHOUSE LOANFrom BROOMHOUSE STREET SOUTH extending north-westwards to BROOMHOUSE PLACE SOUTH.  Carriageways and adjacent footways adopted for maintenance."
"Broomhouse Market","Broomhouse","Adopted","BROOMHOUSE MARKETRemote footway from Broomhouse Place North southwards to Broomhouse Grove.Footways adopted for maintenance."
"Broomhouse Medway","Broomhouse","Adopted","BROOMHOUSE MEDWAYFrom BROOMHOUSE DRIVE extending south-eastwards to BROOMHOUSE PLACE NORTH includingparking on east side.  Carriageways and adjacent footways adopted for maintenance. Including two footpaths extending north-eastwards to serve Nos 8 and 10 BROOMHOUSE MEDWAY."
"Broomhouse Park","Broomhouse","Adopted","BROOMHOUSE PARKFrom BROOMHOUSE AVENUE extending north-eastwards to BROOMHOUSE MEDWAY.Carriageways and adjacent footways adopted for maintenance. Including the lay-by on the southside opposite BROOMHOUSE GARDENS."
"Broomhouse Path","Broomhouse","Adopted","BROOMHOUSE PATHFrom BROOMHOUSE ROAD extending north-eastwards to BROOMHOUSE WALK,Footway adopted for maintenance. Including the footpath linking to BROOMHOUSE AVENUE."
"Broomhouse Place North","Broomhouse","Adopted","BROOMHOUSE PLACE NORTHFrom BROOMHOUSE ROAD extending north-eastward to junction of BROOMHOUSE MEDWAY &BROOMHOUSE CRESCENT including branch southward at No.9  & branch north then west  at No.20 with 13 public end-on parking bays.  Carriageways and adjacent footways adopted for maintenance. 2 end-on parking bays at westmost end are private."
"Broomhouse Place South","Broomhouse","Adopted","BROOMHOUSE PLACE SOUTHFrom BROOMHOUSE CRESCENT extending south-westwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance. Including the footpath to BROOMHOUSE ROAD."
"Broomhouse Road","Broomhouse","Adopted","BROOMHOUSE ROADFrom FORESTER PARK AVENUE extending in a southerly direction to CALDER ROADincluding road ways servicing Nos 259/317.Carriageways and adjacent footways adopted for maintenance. Including path at Nos 241/249"
"Broomhouse Row","Broomhouse","Adopted","BROOMHOUSE ROWFrom BROOMHOUSE CRESCENT extending northwards to BROOMHOUSE TERRACE  Carriageways and adjacent footways adopted for maintenance."
"Broomhouse Square","Broomhouse","Adopted","BROOMHOUSE SQUAREFrom BROOMHOUSE PLACE NORTH consisting of two separate paths extending northwards to BROOMHOUSE STREET NORTH. Footways adopted for maintenance."
"Broomhouse Street North","Broomhouse","Adopted","BROOMHOUSE STREET NORTHFrom BROOMHOUSE AVENUE extending north-eastwards to BROOMHOUSE MEDWAY.Carriageways and adjacent footways adopted for maintenance. Including two pathways on the north side to BROOMHOUSE PARK and the parking lay-by on the north side."
"Broomhouse Street South","Broomhouse","Adopted","BROOMHOUSE STREET SOUTHFrom BROOMHOUSE ROAD extending north-eastwards to  BROOMHOUSE CRESCENT.Carriageways and adjacent footways adopted for maintenance."
"Broomhouse Street South Lane","Broomhouse","Adopted (ex housing)","BROOMHOUSE STREET SOUTH LANE"
"Broomhouse Terrace","Broomhouse","Adopted","BROOMHOUSE TERRACEFrom BROOMHOUSE MEDWAY extending eastwards to SAUGHTON ROAD. Carriageways and adjacent footways adopted for maintenance."
"Broomhouse Walk","Broomhouse","Adopted","BROOMHOUSE WALKFrom BROOMHOUSE PLACE SOUTH extending north-westwards to BROOMHOUSE PLACE NORTH.Carriageways and adjacent footways adopted for maintenance. Including the parking bay between BROOMHOUSE PLACE SOUTH and BROOMHOUSE PATH."
"Broomhouse Way","Broomhouse","Adopted","BROOMHOUSE WAYFrom BROOMHOUSE MEDWAY consisting of two paths extending north-eastwards to BROOMHOUSE COURT.  Carriageways and adjacent footways adopted for maintenance."
"Broomhouse Wynd","Broomhouse","Adopted","BROOMHOUSE WYNDFootpath extending north-eastwards from BROOMHOUSE MEDWAY to BROOMHOUSE COURT.Carriageways and adjacent footways adopted for maintenance."
"Broomlea Crescent","Broomhall","Adopted","BROOMLEA CRESCENTFrom LADYWELL AVENUE extending eastwards and southwards to BROOMHOUSE AVENUE. Carriageways and adjacent footways adopted for maintenance."
"Broompark Road","Broomhall","Adopted","BROOMPARK ROADFrom CASTLE AVENUE southwards and westwards to ROULL ROAD including two cul-de-sacson the south side.Carriageways and adjacent footways adopted for maintenance."
"Broomside Terrace","Broomhall","Adopted","BROOMSIDE TERRACEFrom BROOMFIELD CRESCENT northwards to  BROOMHALL AVENUE.and from BROOMHALL AVENUE northwards to BROOMFIELD CRESCENT.Carriageways and adjacent footways adopted for maintenance."
"Broomview House","Broomhouse","Private","BROOMVIEW HOUSEDistrict Council multi-storey block  off Sighthill Wynd."
"Broomyknowe","Wester Craiglockhart","Adopted","BROOMYKNOWEFrom KATESMILL ROAD extending south-eastwards and north-eastwards to a cul-de-sac including a branch extending southward and south-westward with a further branch to the east.Carriageways and adjacent footways adopted for maintenance. Including a footpath running eastwards to PATIES ROAD. Excluding parking and landscaped areas."
"Brougham Place","Newington","Adopted","BROUGHAM PLACEFrom the centre-line of PANMURE PLACE extending south-eastwards to the centre line of LEVEN TERRACE. Carriageways and adjacent footways adopted for maintenance."
"Brougham Street","Newington","Adopted","BROUGHAM STREETFrom the east line of HOME STREET extending to the centre-line of PANMURE PLACE. Carriageways and adjacent footways adopted for maintenance."
"Broughton Market","Broughton","Adopted","BROUGHTON MARKETDivided into two sections, one public and one private.PUBLIC SECTION: From BARONY STREET extending north-westwards, south-westwards and westwards toDUBLIN STREET LANE NORTH.Carriageways and adjacent footways adopted for maintenance. PRIVATE SECTION: From BARONY STREET extending south-westwards and  north-westwards."
"Broughton Place","Broughton","Adopted","BROUGHTON PLACEFrom BROUGHTON STREET extending eastwards to the front of the UNITED FREE CHURCHat UNION STREET.Carriageways and adjacent footways adopted for maintenance."
"Broughton Place Lane","Broughton","Adopted","BROUGHTON PLACE LANEFrom the north-east corner of BROUGHTON PLACE extending northwards and westwards to a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Broughton Road","Warriston","Adopted","BROUGHTON ROADFrom the east side of CANONMILLS extending north-eastwards to the south west line of PILRIG STREET.Carriageways and adjacent footways adopted for maintenance."
"Broughton Street","Broughton","Adopted","BROUGHTON STREETFrom the centre-line of LONDON STREET extending south-eastwards to the west end of UNION PLACE. Carriageways and adjacent footways adopted for maintenance."
"Broughton Street Lane","Broughton","Adopted","BROUGHTON STREET LANEFrom north side of 31 BROUGHTON STREET extending eastwards to UNION STREET.Carriageways and adjacent footways adopted for maintenance."
"Brown Street","Newington","Adopted","BROWN STREETFrom THE PLEASANCE extending eastwards to DUMBIEDYKES ROAD including a branch extendingsouthwards.Carriageways and adjacent footways adopted for maintenance. Including footways in front of No.s 7-9 and in fornt and behind No.s 3-5.Excluding courtyard and parking area off southward branch of BROWN STREET.PRIVATE STREET: BROWN STREET LANE runs between No. 1 & No. 5. - responsibilitymay lie with the adjoining owners"
"Brown Street Lane","Newington","Private","BROWN STREET LANEPRIVATE STREET: From BROWN STREET extending southwards and eastwards behind the DEACONESS HOSPITAL.Not included for maintenance under the List of Public Roads."
"Brown's Close","Old Town","Adopted","BROWN'S CLOSEFrom No 79 CANONGATE extending northwards. Carriageways and adjacent footways adopted for maintenance. Including access to CAMPBELL'S CLOSE."
"Brown's Court","Abbeyhill","Adopted","BROWN'S COURTNo 125 CANONGATE. Footways adopted for maintenance."
"Brown's Place","Tollcross","Private","BROWN'S PLACEPRIVATE STREET: Property on the east side of the VENNEL, Nos 1 to 15.Not included for maintenance under the List of Public Roads."
"Bruce Street","Morningside","Adopted","BRUCE STREETFrom BALCARRES STREET extending northwards to RAILWAY terminating in a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Brunstane Bank","Joppa","Adopted","BRUNSTANE BANKFrom MILTON ROAD EAST extending southwards and westwards to the eastern boundary of No 21 BRUNSTANE BANK. Carriageways and adjacent footways adopted for maintenance."
"Brunstane Crescent","Joppa","Adopted","BRUNSTANE CRESCENTFrom BRUNSTANE BANK extending eastwards, southwards and westwards, returning to BRUNSTANE BANK. Carriageways and adjacent footways adopted for maintenance."
"Brunstane Drive","Joppa","Adopted","BRUNSTANE DRIVEFrom BRUNSTANE ROAD SOUTH extending eastwards and northwards to MILTON ROAD EAST.  Carriageways and adjacent footways adopted for maintenance. Excluding all non completed footways."
"Brunstane Gardens","Joppa","Adopted","BRUNSTANE GARDENSFrom BRUNSTANE ROAD extending eastwards to the eastern boundary of No11.  Carriageways and adjacent footways adopted for maintenance. Including footway on south side Nos 1-11. PRIVATE STREET: BRUNSTANE MEWS GARDENS joins BRUNSTANE GARDENS between Nos. 8 & 10 and has a section extending eastwards servicing Nos. 12 to 20 - reposnsibility for maintenance may lie with adjoining owners."
"Brunstane Gardens Mews","Joppa","Private","BRUNSTANE GARDENS MEWSPRIVATE STREET: From BRUNSTANE GARDENS in two sections.One section extending eastwards from No. 12 to No. 20 BRUNSTANE GARDENSThe other section extending northwards between Nos. 8 & 10 BRUNSTANE GARDENS.Not included for maintenance under the List of Public Roads."
"Brunstane Lane","Joppa","Private","BRUNSTANE LANEPRIVATE STREET: From BRUNSTANE ROAD, between No.s 11& 13, south-eastwards, a cul-de-sac, with a branch southwards and a footpath northwards.Not included for maintenance under the List of Public Roads."
"Brunstane Mill Road","Joppa","Adopted (ex housing)","BRUNSTANE MILL ROADFrom Milton Road East southward with cul-de-sac branches south-east and west each ending in  a hammerhead.Carriageways and adjacent footways are adopted for maintenance."
"Brunstane Road","Joppa","Adopted","BRUNSTANE ROADFrom PORTOBELLO HIGH STREET, southwards  to MILTON ROAD. Carriageways and adjacent footways adopted for maintenance."
"Brunstane Road North","Portobello East","Adopted","BRUNSTANE ROAD NORTHFrom PORTOBELLO HIGH STREET north-eastwards to the PROMENADE.Carriageways and adjacent footways adopted for maintenance."
"Brunstane Road South","Joppa","Adopted","BRUNSTANE ROAD SOUTHFrom MILTON ROAD EAST south to a point 35m south of centre-line of BRUNSTANE DRIVE then south-east and south-west to short footway to GILBERSTOUN. Street split into PUBLIC and PRIVATELY maintained areas. PUBLIC SECTION: From MILTON ROAD EAST south to a point 35m south of centre-line of BRUNSTANE DRIVE.Including wearing surface of footbridge over railway.  Carriageway and adjacent footways adopted for maintenance.Excluding verge on west side-maintained by residents. PRIVATE SECTION: From public section south-east and south-west to centre of bridge over railway on south sideof Brunstane Farm."
"Brunswick Place","Broughton","Adopted","BRUNSWICK PLACEPart of the south-east side of LEITH WALK from the north corner of BRUNSWICK STREET to BRUNSWICK ROAD and from BRUNSWICK ROAD to LEITH WALK RAILWAY GOODS STATION.Carriageways and adjacent footways adopted for maintenance."
"Brunswick Road","Broughton","Adopted","BRUNSWICK ROADFrom LEITH WALK at BRUNSWICK PLACE then south-eastwards, then eastwards to EASTER ROAD. Carriageways and adjacent footways adopted for maintenance. Public except area to rear of No 51."
"Brunswick Street","Broughton","Adopted","BRUNSWICK STREETFrom LEITH WALK at BRUNSWICK PLACE then south-eastwards, then eastwards to EASTER ROAD. Carriageways and adjacent footways adopted for maintenance."
"Brunswick Street Lane","Broughton","Adopted","BRUNSWICK STREET LANE70 MONTGOMERY STREET.  Southwards, a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Brunswick Terrace","Broughton","Adopted","BRUNSWICK TERRACESide name to BRUNSWICK ROAD. Footpaths in ELGIN TERRACE opposite EDINA STREET northwards then westwards to BRUNSWICK TERRACE including footway on north side of parking areas and in BRUNSWICK TERRACE from church westwards to rear of 2 ELGIN STREET south including footway running southwards at side of 1 BRUNSWICK TERRACE. Carriageways and adjacent footways adopted for maintenance."
"Brunton Gardens","Broughton","Adopted","BRUNTON GARDENSPart of the south side of MONTGOMERY STREET comprising No.s 116-166. From the east side of WELLINGTON STREET south-eastwards to the division between No.s 168-166 intersected by BRUNTON TERRACE.  Carriageways and adjacent footways adopted for maintenance."
"Brunton Place","Broughton","Adopted","BRUNTON PLACEPart of LONDON ROAD (HILLSIDE CRESCENT/EASTER ROAD).Carriageways and adjacent footways adopted for maintenance."
"Brunton Terrace","Broughton","Adopted","BRUNTON TERRACEFrom MONTGOMERY STREET southwards to the front line of BRUNTON PLACE (LONDON ROAD).  Carriageways and adjacent footways adopted for maintenance."
"Bruntsfield Avenue","Bruntsfield","Adopted","BRUNTSFIELD AVENUEFrom MONTPELIER to BRUNTSFIELD PLACE.Carriageways and adjacent footways adopted for maintenance."
"Bruntsfield Crescent","Bruntsfield","Adopted","BRUNTSFIELD CRESCENTFrom WHITEHOUSE LOAN westwards, a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Bruntsfield Gardens","Bruntsfield","Adopted","BRUNTSFIELD GARDENSFrom BRUNTSFIELD PLACE southwards to end of cul-de-sac, with a  branch eastwards to FORBES ROAD.Carriageways and adjacent footways adopted for maintenance."
"Bruntsfield Place","Bruntsfield","Adopted","BRUNTSFIELD PLACEFrom the centre line of GILLESPIE CRESCENT to the centre line of COLINTON ROAD. Carriageways and adjacent footways adopted for maintenance."
"Bruntsfield Terrace","Bruntsfield","Adopted","BRUNTSFIELD TERRACEFrom the centre-line  of GREENHILL GARDENS north-west  to BRUNTSFIELD PLACE.Carriageways and adjacent footways adopted for maintenance."
"Bryce Avenue","Craigentinny","Adopted","BRYCE AVENUEFrom PORTOBELLO ROAD northwards to  WAKEFIELD AVENUE.Carriageways and adjacent footways adopted for maintenance."
"Bryce Crescent","Riccarton/muirwood","Adopted","BRYCE CRESCENTFrom EASTER CURRIE TERRACE north-west to BRYCE PLACE cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Bryce Gardens","Riccarton/muirwood","Prospectively Adopted","BRYCE GARDENSFrom BRYCE ROAD extending northwest-wards to a cul-de-sac.Carriageways and footways are prospectively adoptable."
"Bryce Grove","Craigentinny","Adopted","BRYCE GROVEFrom  BRYCE AVENUE westwards to KEKEWICH AVENUE.  All footways taken over.Carriageways and adjacent footways adopted for maintenance."
"Bryce Place","Riccarton/muirwood","Adopted","BRYCE PLACEFrom BRYCE ROAD to BRYCE CRESCENT south-west.Carriageways and adjacent footways adopted for maintenance."
"Bryce Road","Riccarton/muirwood","Adopted","BRYCE ROADFrom LANARK ROAD WEST  north-west to RICCARTON MAINS ROAD. Carriageways and adjacent footways adopted for maintenance. High level footway immediately adjacent to No.56-60 Bryce Rd is private."
"Bryson Road","Polwarth","Adopted","BRYSON ROADFrom FOWLER TERRACE south-westwards to WEST BRYSON ROAD.Carriageways and adjacent footways adopted for maintenance. Public except parking areas."
"Buccleuch Pend","Newington","Adopted","BUCCLEUCH PENDCarriageways and adjacent footways adopted for maintenance."
"Buccleuch Place","Newington","Adopted","BUCCLEUCH PLACEFrom BUCCLEUCH STREET westwards to the east side of the lane from GEORGE SQUARE.  Carriageways and adjacent footways adopted for maintenance."
"Buccleuch Place Lane","Newington","Adopted","BUCCLEUCH PLACE LANEBUCCLEUCH PLACE to MEADOW LANE.Carriageways and adjacent footways adopted for maintenance."
"Buccleuch Street","Newington","Adopted","BUCCLEUCH STREETFrom the south-west corner of WEST CROSSC AUSEWAY, southwards to the centre-line of  BUCCLEUCH TERRACECarriageways and adjacent footways adopted for maintenance."
"Buccleuch Terrace","Newington","Adopted","BUCCLEUCH TERRACEFrom HOPEPARK CRESCENT eastwards  -  a cul-de-sac.  All footways taken over. Carriageways and adjacent footways adopted for maintenance."
"Buchanan Street","Albion","Adopted","BUCHANAN STREETFrom ALBERT STREET northwards to DALMENY STREET.  Carriageways and adjacent footways adopted for maintenance."
"Buchanan's Court","Old Town","Private","BUCHANAN'S COURTPRIVATE CLOSE: At 300 Lawnmarket southwards. Gated.Not included for maintenance under the List of Public Roads"
"Buckingham Terrace","Stockbridge","Adopted","BUCKINGHAM TERRACEFrom the north line of BELGRAVE CRESCENT, north, west and north to QUEENSFERRY ROAD. Carriageways and adjacent footways adopted for maintenance."
"Buckstane Park","Braid Hills","Adopted","BUCKSTANE PARKFrom 214 BRAID ROAD westwards  -  a cul-de-sac ( Opposite Golf Clubhouse)Carriageways and adjacent footways adopted for maintenance."
"Buckstone Avenue","Buckstone","Adopted","BUCKSTONE AVENUEFrom COMISTON ROAD eastwards and north wards to BUCKSTONE ROAD including the cul-de-sac at Nos. 5-13 BUCKSTONE AVENUE.Carriageways and adjacent footways adopted for maintenance."
"Buckstone Bank","Buckstone","Adopted","BUCKSTONE BANKFrom BUCKSTONE CRESCENT south-westwards, a cul-de-sac.Remote footpaths: westwards to connect with footpath running south-south-east from Buckstone Crescent;and eastwards  to connect with area adjacent to Buckstone Hill.Carriageways and adjacent footways adopted for maintenance."
"Buckstone Circle","Buckstone","Adopted","BUCKSTONE CIRCLEFrom BUCKSTONE LOAN EAST southwards and eastwards to a deadend outside No. 42.  Carriageways and adjacent footways adopted for maintenance.  Public except landscaped areas."
"Buckstone Close","Buckstone","Adopted","BUCKSTONE CLOSEFrom BUCKSTONE LOAN EAST extending southwards to BUCKSTONE LOAN. Carriageways and adjacent footways adopted for maintenance."
"Buckstone Court","","Adopted","BUCKSTONE COURTFrom BUCKSTONE ROAD extending southwards including a turning head.  Carriageways and adjacent footways adopted for maintenance. Including remote footpaths: from house No 21 eastwards to hammerhead of Buckstone Road athouse No 92.  From house No 31 extending south-east to Buckstone Green."
"Buckstone Crescent","","Adopted","BUCKSTONE CRESCENTFrom BUCKSTONE DRIVE extending eastwards then generally southwards toward BUCKSTONE ROAD.Carriageways and adjacent footways adopted for maintenance.Public including remote footways."
"Buckstone Crook","Buckstone","Adopted","BUCKSTONE CROOKFrom BUCKSTONE CIRCLE southwards a cul-de-sac ending in a mixer court at No. 15.  Carriageways and adjacent footways adopted for maintenance.Public including lay-by parking and the service strip.  Excluding all landscaped areas."
"Buckstone Dell","Buckstone","Adopted","BUCKSTONE DELLExtends south-westwards and southwards from BUCKSTONE DRIVE-  a cul-de-sac.  Carriageways and adjacent footways adopted for maintenance."
"Buckstone Drive","Buckstone","Adopted","BUCKSTONE DRIVEFrom BRAID ROAD eastwards to the southern boundary of BRYHER  No. 3.  From existing public section at a point 102 m or thereby from its junction with BRAID ROAD south-eastwards   -  a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Buckstone Gardens","Buckstone","Adopted","BUCKSTONE GARDENSFrom BUCKSTONE TERRACE eastwards and southwards to BUCKSTONE ROAD.Carriageways and adjacent footways adopted for maintenance."
"Buckstone Gate","Buckstone","Adopted","BUCKSTONE GATEFrom BUCKSTONE LOAN northeastwards then eastwards to BUCKSTONE LOAN EAST including footway on both sides.Carriageways and adjacent footways adopted for maintenance."
"Buckstone Green","","Adopted","BUCKSTONE GREENOff BUCKSTONE  LOAN oppostite No.38  eastward.Carriageways and adjacent footways adopted for maintenance."
"Buckstone Grove","Buckstone","Adopted","BUCKSTONE GROVEFrom BUCKSTONE CRESCENT  eastwards  - a cul-de-sac. Carriageways and adjacent footway adopted for maintenance. Grass verge is private."
"Buckstone Hill","Buckstone","Adopted","BUCKSTONE HILLFrom  BUCKSTONE CRESCENT  southwards, a cul-de-sac with turning head with branch west then south also with turning head.  Carriageways adopted for maintenance including remote paths to rear of properties and adjacent to No.s 31 and 33."
"Buckstone Howe","Buckstone","Adopted","BUCKSTONE HOWEFrom BUCKSTONE  CIRCLE west, a cul-de-sac,  including a footway on the north side and a footpath leading to  BUCKSTONE LOAN.   Carriageways and adjacent footways adopted for maintenance. Public including footway south & east to Buckstone Circle and parking lay-by on the south side opposite No.s 1/4."
"Buckstone Lea","Buckstone","Adopted","BUCKSTONE LEAFrom BUCKSTONE LOAN EAST, eastwards, a cul-de-sac.Two footpaths running south to connect with footpath between house Nos 28 and 35.Carriageways and adjacent footways adopted for maintenance."
"Buckstone Loan","","Adopted","BUCKSTONE LOANFrom BUCKSTONE ROAD south-eastwards  to BUCKSTONE CIRCLE. Carriageways and adjacent footways adopted for maintenance."
"Buckstone Loan East","Buckstone","Adopted","BUCKSTONE LOAN EASTFrom Buckstone Primary School extending westwards then northwards to BUCKSTONE CRESCENT. Carriageways and adjacent footways adopted for maintenance. Including following remote footpaths: between house Nos 14-24 west to rear of house No 87 BUCKSTONE ROAD.  Between house Nos35-39 east then turning round bend to south to connectwith BUCKSTONE LEA between house Nos 3 and 6.  From opposite junction with BUCKSTONE GATE east to boundary with  BUCKSTONEPRIMARY SCHOOL."
"Buckstone Neuk","Buckstone","Adopted","BUCKSTONE NEUKFrom BUCKSTONE CRESCENT generally eastwards, a cul-de-sac, including a turning head. Carriageways and adjacent footways adopted for maintenance. Public including footway opposite house No 3 south to connect with Buckstone Loan East. Not including parking areas."
"Buckstone Place","Buckstone","Adopted","BUCKSTONE PLACEFrom BUCKSTONE ROAD south-eastwards, a cul-de-sac including turning head. Carriageways and adjacent footways adopted for maintenance."
"Buckstone Rise","Buckstone","Adopted","BUCKSTONE RISEFrom BUCKSTONE ROAD extending southwards.Carriageways and adjacent footways adopted for maintenance."
"Buckstone Road","","Adopted","BUCKSTONE ROADFrom COMISTON ROAD extending eastwards to BUCKSTONE GARDENS including the cul-de-sac at No.s 7-17 and 10-18 then eastwards and extending generally southwards to BUCKSTONE GATE with a cul-de-sac on the west side including a turning head.  And from No.25 eastwards to boundary of No.70; Carriageways and adjacent footways adopted for maintenance. Including footways on both sides throughout."
"Buckstone Row","Buckstone","Adopted","BUCKSTONE ROWA cul-de-sac from BUCKSTONE CRESCENT extending southwards.Carriageways and adjacent footways adopted for maintenance."
"Buckstone Shaw","Buckstone","Adopted","BUCKSTONE SHAWFrom BUCKSTONE CIRCLE westwards a cul-de-sac. Carriageways and adjacent footways adopted for maintenance.Public including the footpath from No. 22-33 and parking adjacent to carriageway.Excluding the parking area to rear of No. 37 and its access and  all landscaped areas."
"Buckstone Terrace","Buckstone","Adopted","BUCKSTONE TERRACEPart of COMISTON ROAD and BRAID ROAD.  From BRAID ROAD opposite No.226 southward to the centre lines of FROGSTON ROAD and OXGANGS ROAD.   Carriageways and adjacent footways adopted for maintenance.   Public excluding cul-de-sac south-westwards between and servicing No.s 104-112 BUCKSTONE TERRACE."
"Buckstone View","Buckstone","Adopted","BUCKSTONE VIEWFrom BUCKSTONE  DRIVE northwards a cul-de-sac.Carriageways and adjacent footways adopted for maintenance."
"Buckstone Way","Buckstone","Adopted","BUCKSTONE WAYFrom BUCKSTONE CR ESCENT  southeast wards a cul-de-sac.  Remote footpaths: westwards between houseNo 2 and back of No 16 BUCKSTONE CRESCENTthen bifurcating:   a) turning to south-west, then south-east to join with footpath from BUCKSTONE WOOD; b) turning westwards then south-east to connect, at T-junction, with c); c) running roughly east-west between footpath (a) and end of BUCKSTONE DRIVE.Carriageways and adjacent footways adopted for maintenance."
"Buckstone Wood","Buckstone","Adopted","BUCKSTONE WOODFrom BUCKSTONE ROAD, north-westwards and north-eastwards a cul-de-sac including turning head with footpath extending  to public footpath at north-eastern boundary of No.50 BUCKSTONE WOOD and separate public footpath from BUCKSTONE WOOD eastwards and north-eastwards to existing public footpath at rear of No.32 BUCKSTONE WOOD. Remote footpath eastwards to woodland area then skirting around northern perimeter of wood and turning eastwards again then southwards to connect with BUCKSTONE CRESCENT. Carriageways and adjacent footways adopted for maintenance."
"Buckstone Wynd","Buckstone","Adopted","BUCKSTONE WYNDFrom BUCKSTONE LOAN south-eastwards, cul-de -sac including turning head.  Carriageways and adjacent footways adopted for maintenance."
"Bughtlin Drive","Bughtlin","Adopted","BUGHTLIN DRIVEFrom MAYBURY DRIVE extending westwards including 3 turning heads. Includes internal footpaths surfaced with red chips, and car parking areas surfaced in asphalt.Excludes internal footpaths surfaced with white chips, and car parking areas surfaced in concrete.  Carriageways and adjacent footways adopted for maintenance."
