"Sheltered Housing Complex Name / Address",Postcode,Provider,Area,"Web Page Link","No of Units","Unit Types","Community Room",Laundry,Guestroom,Location
"Cockburn Court","EH4 2UU","<a href="" http://www.edinburgh.gov.uk/directory_record/179353/viewpoint_housing_association""> Viewpoint Housing Association </a>",Blackhall,,36,"Studio Flats:		0
1 Bedroom Flats:		35
2 Bedroom Flats:		1
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,No,"55.95748911046827,-3.247511386871338"
Colliesdene,"EH15 2LJ","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Portobello,,64,"Studio Flats:		0
1 Bedroom Flats:		42
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			22
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,Yes,"55.946490403419894,-3.089250326156616"
"Constitution Street","EH6 7AD","<a href="" http://www.edinburgh.gov.uk/directory_record/179351/port_of_leith_housing_association""> Port of Leith Housing Association </a>",Leith,,28,"Studio Flats:		0
1 Bedroom Flats:		24
2 Bedroom Flats:		4
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.97163686456614,-3.169384002685547"
"Couper Field","EH6 6HG","<a href="" http://www.edinburgh.gov.uk/directory_record/179351/port_of_leith_housing_association""> Port of Leith Housing Association </a>",Leith,,36,"Studio Flats:		0
1 Bedroom Flats:		36
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.976211559278156,-3.178074359893799"
"Craiglea Court","EH10 5TP","<a href="" http://www.edinburgh.gov.uk/directory_record/179353/viewpoint_housing_association""> Viewpoint Housing Association </a>",Morningside,,91,"Studio Flats:		24
1 Bedroom Flats:		63
2 Bedroom Flats:		4
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,No,"55.92224136939404,-3.222942352294922"
"Craigmillar Castle Gardens","EH16 4DQ","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Craigmillar,,29,"Studio Flats:		0
1 Bedroom Flats:		29
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.92971902204963,-3.143763542175293"
"Craigmount View","EH12 8XQ","<a href="" http://www.edinburgh.gov.uk/directory_record/179343/castle_rock_edinvar""> Castle Rock Edinvar </a>","East Craigs",,16,"Studio Flats:			10
1 Bedroom Flats:		6
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,Yes,No,"55.94754776058912,-3.301992416381836"
"Croft an Righ","EH8 8EH","<a href="" http://www.edinburgh.gov.uk/directory_record/179353/viewpoint_housing_association""> Viewpoint Housing Association </a>",Abbeyhill,,96,"Studio Flats:		8
1 Bedroom Flats:		67
2 Bedroom Flats:		20
3 Bedroom Flats:		1
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,No,"55.95457594871092,-3.1717548966844333"
"Deanery Close","EH7 6NE","<a href="" http://www.edinburgh.gov.uk/directory_record/179353/viewpoint_housing_association""> Viewpoint Housing Association </a>",Restalrig,,22,"Studio Flats:		2
1 Bedroom Flats:		17
2 Bedroom Flats:		3
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,No,"55.95771734109132,-3.1485486030578613"
"Deanhaugh Street","EH4 1LZ","<a href="" http://www.edinburgh.gov.uk/directory_record/179352/trust_housing_association""> Trust Housing Association </a>",Stockbridge,"<a href="" http://www.trustha.org.uk/ourservices/developinfo.php?dev_ID=140 ""> Deanhaugh Street </a>",38,"Studio Flats:		27
1 Bedroom Flats:		8
2 Bedroom Flats:		3
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.95852214360165,-3.2099711894989014"
"Donaldson Court","EH6 5JN","<a href=""http://www.edinburgh.gov.uk/directory_record/179339/bield_housing_association""> Bield Housing Association </a>",Leith,"<a title=""Donaldson Court"" href=""http://www.bield.co.uk/a9619ed7f6cd4e0a9cbf083bf6bcca36?site=0770102c-09d2-4e82-8e3c-fcd8fb1e49a5"" target=""_top"">Bield Housing & Care: Donaldson Court</a>",61,"Studio Flats:			25
1 Bedroom Flats:		35
2 Bedroom Flats:		1
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,Yes,"55.97151078264234,-3.1786000728607178"
"Drum Court","EH17 8QE","<a href="" http://www.edinburgh.gov.uk/directory_record/179343/castle_rock_edinvar""> Castle Rock Edinvar </a>",Gilmerton,,56,"Studio Flats:			0
1 Bedroom Flats:		56
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,Yes,No,"55.90204329661725,-3.140619993209839"
"Dundee Terrace","EH11 1EF","<a href="" http://www.edinburgh.gov.uk/directory_record/179343/castle_rock_edinvar""> Castle Rock Edinvar </a>","Tollcross / Fountainbridge",,32,"Studio Flats:			0
1 Bedroom Flats:		32
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,Yes,No,"55.93828288826756,-3.2240957021713257"
"Easter Drylaw Way / Easter Drylaw Place","EH4 2RE","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Drylaw,,39,"Studio Flats:			0
1 Bedroom Flats:		30
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			9
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.965716574767946,-3.244689702987671"
"Edina Place","EH7 5RP","<a href="" http://www.edinburgh.gov.uk/directory_record/179343/castle_rock_edinvar""> Castle Rock Edinvar </a>",Abbeyhill,,20,"Studio Flats:		0
1 Bedroom Flats:		10
2 Bedroom Flats:		10
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,Yes,No,"55.95921582189014,-3.170478343963623"
"Elgin Street","EH7 5NH","<a href="" http://www.edinburgh.gov.uk/directory_record/179351/port_of_leith_housing_association""> Port of Leith Housing Association </a>",Leith,,44,"Studio Flats:		0
1 Bedroom Flats:		44
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.95975934467627,-3.174319267272949"
"Elizabeth Maginnis Court, Royston Mains Crescent","EH5 1NT","<a href="" http://www.edinburgh.gov.uk/directory_record/179344/dunedin_canmore_housing""> Dunedin Canmore Housing </a>",Royston,,68,"Studio Flats:		0
1 Bedroom Flats:		53
2 Bedroom Flats:		15
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.97747220682723,-3.2328128814697266"
"Ferniehill Drive","EH17 7DS","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Moredun,,37,"Studio Flats:		0
1 Bedroom Flats:		20
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			17
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.908328135343275,-3.128528594970703"
"Ferry Road","EH6 4AH","<a href="" http://www.edinburgh.gov.uk/directory_record/179351/port_of_leith_housing_association""> Port of Leith Housing Association </a>",Leith,,36,"Studio Flats:		0
1 Bedroom Flats:		31
2 Bedroom Flats:		5
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,Yes,Yes,"55.97497488414304,-3.182666301727295"
"Fleming Court","EH11 1NP","<a href="" http://www.edinburgh.gov.uk/directory_record/179353/viewpoint_housing_association""> Viewpoint Housing Association </a>","Tollcross / Fountainbridge",,145,"Studio Flats:		27
1 Bedroom Flats:		87
2 Bedroom Flats:		31
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,No,"55.93244764525802,-3.227105140686035"
"Fountain Court","EH1 1TG","<a href="" http://www.edinburgh.gov.uk/directory_record/179343/castle_rock_edinvar""> Castle Rock Edinvar </a>",Grassmarket,,65,"Studio Flats:		0
1 Bedroom Flats:		61
2 Bedroom Flats:		4
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,Yes,No,"55.950407286484456,-3.18503737449646"
"Fraser Court, Morrison Crescent","EH3 8AR","<a href="" http://www.edinburgh.gov.uk/directory_record/179344/dunedin_canmore_housing""> Dunedin Canmore Housing </a>",Haymarket,,33,"Studio Flats:			0
1 Bedroom Flats:		32
2 Bedroom Flats:		1
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.944609918488176,-3.21524977684021"
"Gordon Court","EH6 8TB","<a href=""http://www.edinburgh.gov.uk/directory_record/179339/bield_housing_association""> Bield Housing Association </a>",Leith,"<a title=""Gordon Court"" href=""http://www.bield.co.uk/a975b6c65ec249f7939497b92905d30d?site=0770102c-09d2-4e82-8e3c-fcd8fb1e49a5"" target=""_top"">Bield Housing & Care: Gordon Court",58,"Studio Flats:			29
1 Bedroom Flats:		29
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,Yes,"55.96819648186219,-3.169008493423462"
"Granton Crescent","EH5 1BL","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Granton,,48,"Studio Flats:			0
1 Bedroom Flats:		48
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,No,No,"55.97965122927049,-3.225688934326172"
"Greenlaw Rig","EH13 9QU","<a href="" http://www.edinburgh.gov.uk/directory_record/179348/manor_estates_housing_association""> Manor Estates Housing Association </a>",Firrhill,,64,"Studio Flats:			0
1 Bedroom Flats:		63
2 Bedroom Flats:		1
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.912450316129,-3.228859305381775"
"Halmyre Street - Bield","EH6 8PE","<a href=""http://www.edinburgh.gov.uk/directory_record/179339/bield_housing_association""> Bield Housing Association </a>",Leith,"<a title=""Halmyre Street"" href=""http://www.bield.co.uk/9a6482683afe4686b36e07a7a4431660?site=0770102c-09d2-4e82-8e3c-fcd8fb1e49a5"" target=""_top"">Bield Housing & Care: Halmyre Street</a>",32,"Studio Flats:		0
1 Bedroom Flats:		26
2 Bedroom Flats:		6
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.96699557817711,-3.172152042388916"
"Halmyre Street - Port of Leith","EH6 8QD","<a href="" http://www.edinburgh.gov.uk/directory_record/179351/port_of_leith_housing_association""> Port of Leith Housing Association </a>",Leith,,9,"Studio Flats:		0
1 Bedroom Flats:		0
2 Bedroom Flats:		9
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.96638910765244,-3.171572685241699"
"Hanover Court","EH14 7HL","<a href="" http://www.edinburgh.gov.uk/directory_record/179345/hanover_scotland_housing_association""> Hanover (Scotland) Housing Association </a>",Balerno,,22,"Studio Flats:		0
1 Bedroom Flats:		12
2 Bedroom Flats:		10
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.883658057642,-3.3401119709014893"
"Haugh Park","EH14 2BD","<a href="" http://www.edinburgh.gov.uk/directory_record/179353/viewpoint_housing_association""> Viewpoint Housing Association </a>",Longstone,,32,"Studio Flats:		0
1 Bedroom Flats:		31
2 Bedroom Flats:		1
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,No,"55.924862318633735,-3.2605576515197754"
"Ingham Court","EH16 5AA","<a href="" http://www.edinburgh.gov.uk/directory_record/179353/viewpoint_housing_association""> Viewpoint Housing Association </a>",Newington,,11,"Studio Flats:		1
1 Bedroom Flats:		9
2 Bedroom Flats:		1
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,No,"55.938084588566106,-3.176121711730957"
"Inverard House","EH3 5QF","<a href="" http://www.edinburgh.gov.uk/directory_record/179353/viewpoint_housing_association""> Viewpoint Housing Association </a>",Inverleith,,37,"Studio Flats:		10
1 Bedroom Flats:		27
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,No,"55.970388035009854,-3.215324878692627"
"Inverleith Row","EH3 5PY","<a href="" http://www.edinburgh.gov.uk/directory_record/179342/crown_housing_association""> Crown Housing Association </a>",Warriston,,16,"Studio Flats:		0
1 Bedroom Flats:		16
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.96943937792554,-3.2077717781066895"
"Jameson Place","EH6 8NZ","<a href="" http://www.edinburgh.gov.uk/directory_record/179351/port_of_leith_housing_association""> Port of Leith Housing Association </a>",Leith,,31,"Studio Flats:		0
1 Bedroom Flats:		21
2 Bedroom Flats:		10
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,Yes,Yes,"55.965614492861974,-3.174394369125366"
"Kaimes Court","EH12 6DA","<a href="" http://www.edinburgh.gov.uk/directory_record/179341/cairn_housing_association""> Cairn Housing Association </a>",Corstorphine,"<a href="" http://www.cairnha.com/Upload/Documents/Kaimes%20Court%20Leaflet.pdf""> Kaimes Court </a>",26,"Studio Flats:		0
1 Bedroom Flats:		21
2 Bedroom Flats:		5
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.942272702919865,-3.272799253463745"
"Kilvarock House / Northwood House / St Albans Court","EH9 2HE","<a href="" http://www.edinburgh.gov.uk/directory_record/179353/viewpoint_housing_association""> Viewpoint Housing Association </a>",Grange,,151,"Studio Flats:		10
1 Bedroom Flats:		110
2 Bedroom Flats:		31
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,No,"55.929646897243664,-3.1894898414611816"
"Kingsknowe Place","EH14 2EH","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Kingsknowe,,51,"Studio Flats:		0
1 Bedroom Flats:		51
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,No,No,"55.920708392625336,-3.265460729598999"
"Kirk Loan","EH12 7HD","<a href="" http://www.edinburgh.gov.uk/directory_record/179352/trust_housing_association""> Trust Housing Association </a>",Corstorphine,"<a href="" http://www.trustha.org.uk/ourservices/developinfo.php?dev_ID=126 ""> Kirk Loan </a>",22,"Studio Flats:		17
1 Bedroom Flats:		5
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.9418941688752,-3.281489610671997"
"Kirkland Park Gardens","EH29 9EX","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Kirkliston,,25,"Studio Flats:			0
1 Bedroom Flats:		23
2 Bedroom Flats:		2
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,Yes,"55.95681642290905,-3.411233425140381"
"Lade Court, Lynedoch Place","EH3 7PY","<a href="" http://www.edinburgh.gov.uk/directory_record/179353/viewpoint_housing_association""> Viewpoint Housing Association </a>","West End",,90,"Studio Flats:		19
1 Bedroom Flats:		71
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,No,"55.95201117179783,-3.214874267578125"
"Lady Nairne Crescent","EH8 7PF","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Northfield,,47,"Studio Flats:			9
1 Bedroom Flats:		26
2 Bedroom Flats:		2
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			12
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.94559523188523,-3.1399011611938477"
"Laura Fergusson Court","EH12 8XF","<a href="" http://www.edinburgh.gov.uk/directory_record/179349/blackwood_housing_association""> Blackwood Housing Association </a>","East Craigs","<a href=""http://www.mbha.org.uk/housing/our-properties/laura-fergusson-court/ ""> Laura Fergusson Court </a>",43,"Studio Flats:			13
1 Bedroom Flats:		19
2 Bedroom Flats:		10
3 Bedroom Flats:		2
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.9525517923242,-3.302839994430542"
"Lauriston Park","EH3 9JA","<a href="" http://www.edinburgh.gov.uk/directory_record/179343/castle_rock_edinvar""> Castle Rock Edinvar </a>","Tollcross / Fountain Bridge",,32,"Studio Flats:		0
1 Bedroom Flats:		32
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,Yes,No,"55.943600547063006,-3.2006263732910156"
"Lennox Tower","EH14 7AB","<a href="" http://www.edinburgh.gov.uk/directory_record/179353/viewpoint_housing_association""> Viewpoint Housing Association </a>",Balerno,,22,"Studio Flats:		0
1 Bedroom Flats:		21
2 Bedroom Flats:		1
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,No,"55.8836640751791,-3.337740898132324"
"Loaning Road","EH7 6JE","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Craigentinny,,26,"Studio Flats:		0
1 Bedroom Flats:		0
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			26
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.95936896996681,-3.1483232975006104"
"Magdalene Avenue","EH15 3BP","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Milton,,23,"Studio Flats:		0
1 Bedroom Flats:		23
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.94262119130921,-3.111158609390259"
"Magdalene Court","EH15 3EF","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Milton,,22,"Studio Flats:		0
1 Bedroom Flats:		19
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			3
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.94082463999397,-3.114001750946045"
"Manderston Court","EH6 8NL","<a href=""http://www.edinburgh.gov.uk/directory_record/179339/bield_housing_association""> Bield Housing Association </a>",Leith,"<a title=""Manderston Court"" href=""http://www.bield.co.uk/df42cde8cc8f4a62a5ec2425b81ad544?site=0770102c-09d2-4e82-8e3c-fcd8fb1e49a5"" target=""_top"">Bield Housing & Care: Manderston Court</a>",50,"Studio Flats:			21
1 Bedroom Flats:		29
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,Yes,"55.96906110943711,-3.171851634979248"
"Marmion Crescent","EH16 5QU","<a href="" http://www.edinburgh.gov.uk/directory_record/179349/blackwood_housing_association""> Blackwood Housing Association </a>",Gilmerton,"<a href=""http://www.mbha.org.uk/housing/our-properties/marmion-crescent/ ""> Marmion Crescent </a>",10,"Studio Flats:		0
1 Bedroom Flats:		4
2 Bedroom Flats:		5
3 Bedroom Flats:		1
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.921099157167035,-3.1595993041992188"
"Melgund / East Claremont Street","EH7 4BT","<a href="" http://www.edinburgh.gov.uk/directory_record/179353/viewpoint_housing_association""> Viewpoint Housing Association </a>",Broughton,,39,"Studio Flats:		3
1 Bedroom Flats:		33
2 Bedroom Flats:		3
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,No,"55.96167512655894,-3.1919896602630615"
"Mid Gogarloch Syke","EH12 9JB","<a href="" http://www.edinburgh.gov.uk/directory_record/179347/horizon_housing_association""> Horizon Housing Association </a>","South Gyle",,14,"Studio Flats:		0
1 Bedroom Flats:		0
2 Bedroom Flats:		3
3 Bedroom Flats:		9
4 Bedroom Flats:		0
5 Bedroom Flats:		1
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.93703899153451,-3.3086228370666504"
"Milton Court","EH15 3AW","<a href=""http://www.edinburgh.gov.uk/directory_record/179339/bield_housing_association""> Bield Housing Association </a>",Portobello,"<a title=""Milton Court"" href=""http://www.bield.co.uk/40854465de1540dbaeab8ade0b56ce0d?site=0770102c-09d2-4e82-8e3c-fcd8fb1e49a5"" target=""_top"">Bield Housing & Care: Milton Court</a>",26,"Studio Flats:			0
1 Bedroom Flats:		22
2 Bedroom Flats:		4
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.945312858047615,-3.108202815055847"
"Moira Park","EH7 6RX","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Portobello,,47,"Studio Flats:		0
1 Bedroom Flats:		41
2 Bedroom Flats:		6
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,Yes,"55.955579127766754,-3.133571147918701"
"Montrose Terrace","EH7 5XW","<a href="" http://www.edinburgh.gov.uk/directory_record/179352/trust_housing_association""> Trust Housing Association </a>",Abbeyhill,"<a href="" http://www.trustha.org.uk/ourservices/developinfo.php?dev_ID=124 ""> Montrose Terrace </a>",31,"Studio Flats:		0
1 Bedroom Flats:		29
2 Bedroom Flats:		2
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.95700862054742,-3.1693625450134277"
"Muirhouse Bank","EH4 4QT","<a href="" http://www.edinburgh.gov.uk/directory_record/179349/blackwood_housing_association""> Blackwood Housing Association </a>",Muirhouse,"<a href=""http://www.mbha.org.uk/housing/our-properties/muirhouse-bank/ ""> Muirhouse Bank </a>",4,"Studio Flats:		0
1 Bedroom Flats:		0
2 Bedroom Flats:		4
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.966857471863754,-3.258819580078125"
"New Lairdship Place","EH11 3UZ","<a href="" http://www.edinburgh.gov.uk/directory_record/179349/blackwood_housing_association""> Blackwood Housing Association </a>",Broomhouse,"<a href=""http://www.mbha.org.uk/housing/our-properties/new-lairdship-place/""> New Lairdship Place </a>",12,"Studio Flats:		0
1 Bedroom Flats:		5
2 Bedroom Flats:		3
3 Bedroom Flats:		2
4 Bedroom Flats:		2
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.92634103288351,-3.2822299003601074"
