Image,Name,Address,Postcode,Telephone,Email,"Opening hours",Facilities,Background,"History and heritage",Wildlife,Geology,"Visitor information","Public Toilets","Book sports facilities","Organise an event","Getting involved","Other useful links","Green Flag","Management Plan","Why don't you?","Location map"
,"Dovecot Park","Lanark Road","EH14 2LU","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,,"Dovecot Park is a place for ball games, play and a quiet stroll. It has also been designed to please the eye with cherry trees, sycamores, mixed hawthorn and elder. Where the bank drops to meet the Water of Leith, a wild woodland of ash, oak, cherry, hawthorn, conifer and dogrose has established.
","The park was created in 1960.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.911504,-3.266116"
http://www.edinburgh.gov.uk/images/Drum_Park_dp_220x150.jpg,"Drum Park","Drum Brae Crescent","EH17 7EQ","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Play area 
Seating
Signage
Football pitch","Drum Park is primarily used as a sports venue by Fernieside Football Club. The park also has a popular play area with a variety of different types of play equipment, seating and picnic table.  20,000 natural daffodil bulbs have been planted at the Drum Street end of the park which will give a welcome splash of colour in the spring months. Several trees have been planted at the Drum Avenue end of the park which provide lovely leaf colour in the autumn months. ",,,,"On bus routes 3, 3A, 7, 29 & 33",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.edinburgh.gov.uk/fop"">Friends of Parks</a>",,,,,"55.906163138426976,-3.130674362182617"
,"Drumbrae Park",,"EH4 7SF","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Football
Community woodland","Drum Brae Park is one of the highest in the City with views of the Forth estuary, Fife coast, Lomond Hills and Pentland Hills. The northern slope has been planted with a mixture of beech, birch, sycamore, hawthorn, cherry and rowan trees. ","The park was created in 1961.",,,"On Lothian bus route 26.",,sportspitch@edinburghleisure.co.uk,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.edinburgh.gov.uk/fop"">Friends of Parks</a>",,,,,"55.95611969847032,-3.2958984375"
,"Dunbars Close Garden","Canongate, High Street","EH8 8BW","0131 529 7061",sfc.centralneighbourhood@edinburgh.gov.uk,,"Historical Gardens
Seating","A hidden gem, the garden has been laid out in the style and character of a 17th century garden and in the historical surroundings of Edinburgh's Old Town, it retains much of the atmosphere of the Edinburgh of three centuries ago. Few places on the Royal Mile offer such a break from the busy city centre. Trees and manicured bushes create a shady area at the entrance, opening out into a suntrap full of lovely flowers, fruit trees and unusual plants.","In Robert Burn's day, Dunbars Close was famous for its oyster cellar.  Burns was surprised to find fashionable ladies washing down their oyster suppers with ale or punch.The garden was created by Sir Patrick Geddes (1854-1932) who lived on the Royal Mile at the time. He was an eminent Scots biologist who stressed the connection between health and the environment. Geddes had the vision for a network of inner city gardens, of which Dunbar’s Close is one. The garden was restored from wilderness in 1978 by the Mushroom Trust, who gifted the garden to the City of Edinburgh Council.",,,"On Lothian bus route 35.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.95172283776367,-3.1792545318603516"
,"Dundas Park","Dundas Avenue, South Queensferry","EH30 0QA","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Play area
Football pitches","Dundas Park provides playing fields for children and an ideal sports pitch. The park also offers close view of the Forth Rail Bridge and there is a well-used, safe play area for young children.","Dundas Park was aquired for the Council from Lord Primrose in 1962.
",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.9847951561171,-3.3882522583007812"
,"East Pilton Park","Pilton Avenue","EH5 2RL","0131 529 5050",sfc.northneighbourhood@edinburgh.gov.uk,,"Play area
Football pitches
Park benches
Disabled access","East Pilton Park is a place for play and has been divided to allow toddlers to play, while older children separately have the run of the park. It is busy, popular and effective as a neighbourhood park. The bordering cherry trees are in full pink and white blossom in the spring.","The ground was aquired from Dame Ramsay-Steel-Maitland in 1931.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.97408637468797,-3.227405548095703"
http://www.edinburgh.gov.uk/images/Green_Flag_Parks_2010_-_Easter_Craiglockhart_Hill.jpg,"Easter Craiglockhart Hill Local Nature reserve","Colinton Road","EH10 5PY","0131 447 7145",naturalheritageservice@edinburgh.gov.uk,,"Natural Heritage Ranger Service
Guided walks
Interpretation panels
Seating","Nestled between the peaceful residential areas of Braidburn and Craiglockhart, Easter Craiglockhart Hill rises dramatically through cliff-faces and steeply wooded slopes to a plateau of rabbit-cropped turf, featuring views out over the Forth, the Trossachs, the Pentlands and East Lothian , as well as the fascinating city-scape all around.  A short walk around the Nature Trail - devised and maintained by a group of local residents - reveals a surprising variety of habitats. The park has been awarded a Green Flag since 2009, in recognition of it being a quality greenspace.","The name Craiglockhart probably comes from either the Lockhart family, who owned the land in the 14th century, or is from the gaelic description of the area- Craig-Loch-ard (rocky hill by a loch).
In 1773 the estate was sold to the Munro family. Alex Munro planted trees on Easter Craiglockhart and allowed residents to walk there. In 1917, the war poets, Siegfried Sassoon and Wilfred Own were treated at the Craiglockhart Hydropath, built in 1880 (now Edinburgh Napier University Craiglockhart Campus). ","Beside the Craiglockhart Sports Centre lies a large ornamental pond, dating from 1878, which drains into a carefully managed marsh - an unusual habitat in a city.  This marsh is home to orchids, provides a hunting ground for herons and is a safe haven for smaller waterfowl to raise their broods. The slopes of the hill are clad in semi-natural woodland, that is, woodland planted at least 200 years ago which is so well-established that it has been colonised by plants, birds and animals of ancient woodland.  A large meadow at the top of the Hill is another rare habitat for a city - unimproved grassland, home to small mammals and wild flowers.","Old red sandstone formed 400 million years ago under a shallow sea, then 325 million years ago, volcanoes erupted. When they cooled they formed the hard igneous rock which is Easter Craiglockhart Hill. You can see this rock as lava outcrops. The softer, green coloured rock on the edge of the hill is volcanic tuff, which is volcanic ash expelled when the volcano erupted.  Later, earthquakes caused the rock to split leaving steep sided cliffs. 12,000 years ago a huge sheet of ice covered the area. When it melted, the valleys were cut leaving the hills you see today.","Reached by Lothian Bus numbers 24,27 or 29.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.craiglockhartwoods.org"">Craiglockhart Woods website</a>","<a href=""http://www.edinburgh.gov.uk/info/78/countryside_management_and_conservation/710/natural_heritage_sites"">Natural Heritage Ranger Service</a>","Since 2009","<a href=""http://www.edinburgh.gov.uk/downloads/file/7053/easter_craiglockhart_management_plan_draft"">Easter Craiglockhart Management Plan</a>","Look at the levels of woodland- each level is home to insects, birds and mammals.","55.923431638952884,-3.233156204223633"
,"Easter Drylaw Park","Easter Drylaw Drive","EH4 2RT","0131 529 5050",sfc.northneighbourhood@edinburgh.gov.uk,,"Play area
Mountain bike track
Seating","A small community park located on the north Edinburgh cyclepath. It has a much loved play area and a mountain bike track.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.962750084889855,-3.2434558868408203"
,"Fairmilehead Park","Camus Avenue","EH10 6QU","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Play area
Seating
Wildlife","Trees are one of the most attractive features and sycamore, beech, conifer, elder and holly can be found. It is a part of the city known for its many natural springs, resulting in a small pond on the north side. It is a park for walking, playing or for quiet contemplation. There are also hard paths for walking. A safe play area is an attraction for younger children.",,,,"Reached by Lothian bus number 15 or 11.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.edinburgh.gov.uk/fop"">Friends of Parks</a>",,,,,"55.90683670597479,-3.2137584686279297"
,"Fauldburn Park","Fauldburn Park","EH12 8YN","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,,"This park lies east of the Maybury Road and is accessed through the East Craigs estate. The large grassed area has a play area and goal posts.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.956648249192675,-3.3072280883789062"
,"Ferniehill Community Park","Ferniehill Road","EH17 7AF","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Play area
Picnic benches
Football goals
Views
Seating
Flower and rose beds
Spring flower displays","The park was created from an existing open grassed area and housing South of Ferniehill Drive and Ferniehill Terrace, which subsided due to the collapse of old quarry workings in 2000. The park has a play area and enjoys panoramic open vista views of the city.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.909915722935146,-3.131275177001953"
,"Fernieside Recreation Ground","Fernieside Road","EH17 7HY","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Football
Pavillion","The park is spilt in two sections; playing fields to the east and a play area to the west, locally known as Moredun Maize. ",,,,,,sportspitch@edinburghleisure.co.uk,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.9144375858957,-3.1300735473632812"
,"Ferry Glen","Station Road, South Queensferry","EH30 9JY","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Woodland walks","The Ferry Glen is the area of land to the north of Station Road, South Queensferry and to the south of the public pathway (formerly the railway track). The total area of this woodland is 2.061 hectares (5.093 acres).The surrounding area includes the paths traditionally known as the Back Braes, the cycle path, and the woodland area which borders these. Ferry Glen holds a Green Flag in recognition of it being a quality greenspace.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.ferryglen.org.uk/"">Friends of Ferry Glen</a>",,"Since 2012",,,"55.98863614881113,-3.3897972106933594"
http://www.edinburgh.gov.uk/images/Figgate_Park_220x150.jpg,"Figgate Park","Mountcastle Drive North","EH8 7SE","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Play area
Teenage area
Board walk
Picnic tables
Seating","With its distinctive burn running through the park, pond and animated wildlife, the Figgate Park provides an attractive green space in the heart of Edinburgh's East Neighbourhood. Its many entrances are commonly used by local walkers, joggers and cyclists as a convenient access to areas between Duddingston and Portobello. The pond, with a boardwalk and wide variety of waterfowl is the main attraction, but a children's play area, teen area and even a pictorial wildflower meadow, ensure there is lots to see and do in the park. The park has been awarded a Green Flag since 2010, in recognition of it being a quality greenspace.","The area was originally known as Figgate Muir, an expanse of moorland through which the Figgate Burn flowed from Duddingston Loch to the sea, with a broad sandy beach on the Firth of Forth. The name Figgate was thought to come from the Saxon term for ""cow's ditch"", and the land was used as pasture by the monks in 1763. The lands known as the Figgate Whins were sold by Lord Milton to Baron Mure for about",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.figgatepark.org.uk/"">Friends of Figgate Park</a>",,"Since 2010","<a href=""http://www.edinburgh.gov.uk/downloads/file/5939/figgate_park_management_plan"">Figgate Park Management Plan</a>",,"55.95049739416244,-3.12286376953125"
,"Gardner's Crescent","Gardner's Crescent","EH3 8DG","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Gardens
Seating","Gardner's Crescent is a small neighbourhood greenspace with cherry, sycamore and elm trees, which provides a pleasant place to sit in a busy part of town. Recently, paths have been reinstated, walls repaired, flowerbeds installed and the ornate railings have been replaced.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.friendsofgardnerscrescent.org.uk/"">Friends of Gardener's Crescent</a>",,,,,"55.944496,-3.209233"
,"Gayfield Square","Gayfield Square","EH1 3PA","0131 529 7061",citycentreteam@edinburgh.gov.uk,,Seating,"Gayfield Square is a valuable community park surrounded by classic New Town buildings in one of the busiest parts of the city at the top of Leith Walk. Trees found in the park include elm, sycamore, hawthorn, almond, ash, whitebeam, birch and rowan.","Edinburgh Corporation assumed custody and management of the ground in 1886 under the powers of the Edinburgh Municipal Police Act of 1879.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.95866628556793,-3.1850051879882812"
,"Geddes Gardens",,,"0131 529 7061",sfc.centralneighbourhood@edinburgh.gov.uk,,"Seating
Gardens",,"Geddes Gardens is part of a network of inner city gardens. Sir Patrick Geddes was a Scottish biologist, sociologist, geographer, philanthropist and pioneering town planner. He is known for his innovative thinking in the fields of urban planning and sociology. Geddes was keenly interested in the science of ecology, an advocate of nature conservation and strongly opposed to environmental pollution.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.94655648908883,-3.197493553161621"
,"Glendevon Park","Glendevon Park","EH12 5XD","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Play area","A small secluded pocket park hidden behind the houses of Glendevon Park. A grassed area with a play unit for toddlers.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.939201,-3.25524"
,"Gorgie/Dalry Community Park","Dalry Road","EH11 2EF","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Play area
Multi use games area",,"The park was built where Dalry station once stood. the line was closed in 1965. Since then, the railway lines have been completely removed and the only indication left of the park's railway history is the station platform. Nature has taken over and where there once commuters there are birch and willow trees. In 1972, the first play area was created.","The vegetation in the park mainly consists of grassland, scrub and woodland, but there are also 140 wild plant species. The best time to see the variety of plants is when they are in flower in the summer. Parts of the park have a wild feel with rose and hawthorn bushes and rowan, birch, oak and willow trees.",,"There are two main entrances to the park. One is from Dalry Road, opposite Downfield Place. The other is from the Telfer Subway.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.940644379409086,-3.2222557067871094"
,"Gracemount Community Park",,"EH16 6UA","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Seating
Grassed areas","Gracemount Community Park has a very recent history being created during 2000 and 2001 from the rundown Gracemount House walled garden. Situated to the south of the enclosed section of the walled garden the park provides a pleasant seated area with views across to the Pentlands Hills and the cities southern fringes. Recently created shruberies and lawns laid out behind newly renovated walls provide the park with its own special atmosphere.",,,,"On Lothian Bus route 11 and 22.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.905154,-3.155319"
,"Grannies Green",Grassmarket,,"0131 529 7061",sfc.centralneighbourhood@edinburgh.gov.uk,,"Seating
Views","This small sloping grassed area on the west end of the Grassmarket, sitting beneath Edinburgh Castle, was brought back to life over the past five years. ","Grannies Green was originally part of a traditional wash-house and bleaching green for the washing of the Grassmarket and army wives on Johnstone Terrace. Recently the local community, the Council, Edinburgh World Heritage Trust and the Edinburgh Old Town Development Trust, the garden has been transformed into a greenspace to commemorate the celebrated town planner, Sir Patrick Geddes. Sir Patrick, who was born in 1854 and died in 1932, is credited with transforming Edinburgh into a thriving modern city. Grannies Green is part of the network of inner city gardens planned by Geddes. Wildflowers, a herb garden and fruit trees have been planted. There is new signage and inscribed stone steps and the cast-iron clothes poles once used to hang washing to dry have been restored.

 ",,,"Serviced by Lothian Bus no 2. It can be accessed by Grannies Green Steps from Johnston Terrace or the Grassmarket.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.947517722431606,-3.198566436767578"
,"Granton Crescent Park","Granton Crescent","EH5 1NY","0131 529 5050",sfc.northneighbourhood@edinburgh.gov.uk,,"Play area","A community park with great views across the forth. The park has community woodlands which were planted to mark the new millennium and a play area.",,,,"Serviced by Lothian Bus numbers 19 or 47.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.979753274144315,-3.2244014739990234"
,"Gyle Park","Glasgow Road","EH12 8LJ","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Play area
Outdoor gym
Skateboard and bmx park
Roller hockey area
Football
Cricket
Rugby","The Gyle Park, under city ownership since 1953, has become a considerable city asset with its popularity as a sporting venue and for its magnificent views of Arthur's Seat, the Braids, Blackford Hill and Corstorphine Hill. The Gyle is one of the city's largest parks. Parts of its boundaries are marked by sycamore, rowan, sorbus and ash trees.",,,,,,sportspitch@edinburghleisure.co.uk,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.edinburgh.gov.uk/info/542/volunteering-general_information/761/friends_of_parks"">Friends of Parks</a>",,,,,"55.93977911692385,-3.3010482788085938"
,"Gypsy Brae Recreation Ground","West Shore Road","EH5 1QD","0131 529 5050",sfc.northneighbourhood@edinburgh.gov.uk,,"Sea views
Seating
Grassed areas
Bird watching","Gypsy Brae provides football facilities and space for family picnics or peaceful strolls. The Forth Bridges are visible from the park.",,,,"Serviced by Lothian Bus numbers 24 and 27.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.98172208723421,-3.2540130615234375"
,"Hailes Quarry Park","Dumbryden Drive","EH14 2TF","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Play area
Mountain bike trail (340m pump bike track)
Cycle paths
Playing fields","Hailes Quarry Park runs along the banks of the Union Canal and provides the local community with a great space to play, walk and enjoy some quiet relaxation. There are a range of facilities including a new outdoor gym, a mountain bike 'pump' track, playing fields and play area. The park holds a Green Flag in recognition of it being a quality greenspace.","Hailes Quarry was active from 1750 to 1900 and at its peak period of production employed 150 men with 100,000 tons of stone being taken out each year.  Stone from the quarry was used for stairs and landings during the building for the New Town.  It was abandoned in 1902 when it became flooded with water. In the 1970s the abandoned site was used as a landfill site to dispose of Edinburgh's rubbish before it was finally grassed over. In the 1980s the local community formed the Hailes Park Action Group and raised funds for new facilities for the park, including a play area.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,"<a href=""http://www.elgt.org.uk/"">Edinburgh and Lothians Greenspace Trust</a>",Yes,,,"55.92227743870561,-3.2689476013183594"
,"Harrison Park","West Bryson Road","EH11 1EH","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Two play areas
Seating","Harrison Park is a popular community park extending some 7 hectares in size. In provides a range of recreational facilities including pitches, play area, cycle path and the Union canal which runs a long it's southern boundary. A formal garden with bedding displays and roses provide a welcome retreat to nearby residences, many without gardens. The park has been awarded a Green Flag since 2007, in recognition of it being a quality greenspace.",,"The canal is home to moorhen, mallard, coot, mute swan and pipistrell bats. In the park areas have been set aside for naturalised bulbs and a wildflower meadow has been created by local children. The Friends group have been involved with installing bird and bat boxes.",,"The canal is a key route for commuters into the city centre. Since 2008 there has been a range of improvements to improve access including lighting, new access point into the park and new paths. The park is serviced by Lothian Bus numbers 27 and 10.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.harrisonpark.org.uk/"">Friends of Harrison Park</a>",,"Since 2007",,"Take a stroll along the Union canal on a late summer evening and watch for bats.","55.93386597260774,-3.2267189025878906"
,"Haugh Park","Brae Park Road","EH4 6DP","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Play area
Car parking
Seating","This small park close to the River Almond has been planted with a shrubbery of viburnum, hawthorn, roses and young trees. For a small park, it has a large play area for young children.","The park was acquired by the Council in 1890.",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.965657,-3.312858"
,"Hays Park",,,"0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Gardens
Seating","A relatively new park which was created when the Hays housing estate was built. It is a small pocket park with shrubberies and grassed areas.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.93545251455669,-3.1215763092041016"
,"Henderson Gardens Park","Henderson Gardens","EH6 6BX","0131 529 7061",citycentreteam@edinburgh.gov.uk,,"Play area
Seating
Multi use games area","This is a small park situated off Great Junction Street and is the only formal park in the area. The park has a toddlers play area and is surrounded with mature shrub planting.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.973531,-3.173605"
,"Hermitage of Braid Local Nature Reserve","Braid Road","EH9 3HE","0131 529 2401",naturalheritageservice@edinburgh.gov.uk,"Monday to Friday: 9am - 4pm,  Sunday and Public Holidays 12 noon - 4pm. ","Natural Heritage Service
Guided walks
Interpretation panels
Car park (Midmar Drive)
Toilets
Visitor centre
Seating","Hermitage of Braid is home to Old Hermitage House and its Visitor Centre.  Other attractions include the Ice House, the Doocot within the walled garden and a pump system along the burn which was used to provide running water to the House. The reserve holds a Green Flag in recognition of it being a quality greenspace.","The area is steeped in history - some of which is told in the old Hermitage House where the Headquarter of the City of Edinburgh Countryside Natural Heritage Ranger Service provides a charming Visitor Centre full of displays, activities and information. You can also explore the surroundings to discover the Ice House, the Doocot in the Walled Garden and even a clever water pump system along the burn that provided running water to the Hermitage House in the past!
The first recorded owner of this area was the son of a Belgian knight called De Brad, in the 12th Century. His son, Henri De Brad, was Sheriff of Edinburgh. He and his guests hunted for deer and wild boar in the forest.
In 1775 the architect Robert Burn was employed by Charles Gordon of Cluny to design the mansion house. The house was finished in 1788 and it was around this time that the dovecot, walled garden, stables and ice house were built. The dovecot housed pigeons which were eaten by the householders. The ice house was used to store food. It was kept cold by filling the base with ice colleted from local ponds and wrapped in straw, so it melted more slowly.
In 1937, the Hermitage was presented to the city as a public park by the owner John McDougal.","There is a wonderful mixture of habitats including woodland, scrubland, grassland, the Braid Burn and wetland which all provide a refuge for wildlife.  Listen for green woodpecker calling from the top of the tall beech trees and if you are lucky, you could startle a fox hunting rabbits or even an otter swimming in the burn! Don't forget your binoculars as you might be surprised by the amazing birdlife you will encounter; herons, kestrels, kingfishers, song thrush and even tawny owls can be regularly seen around the Nature Reserve! A visit to Blackford Pond will give you a chance to get close to swans, mallards, geese, coots and more depending on the time of year. The Hermitage of Braid is a designated ancient woodland. This means that woodland has covered the site for at least 300 years. However, much of the woodland is now semi-natural with beech (Fagus sylvatica), Ash (Fraxinus excelsior) and Sycamore (Acer pseudplatanus) regenerating freely. Most of the large, mature tees probably date from the early 19th century and there are many very old and large specimens scattered throughout the attractive woodland setting. Many exceed 40m in height, especially those growing in the valley bottom, which could make them the tallest trees in Edinburgh.","Blackford Hill is a contrast to the deep gorge of the Hermitage Wood. The Hill was formed from the oldest rock in Edinburgh and offers impressive panoramic views of the city, the Pentland Hills and Firth of Forth. Enthusiastic geologists love this place as it is full of significant hotspots to study rock formation. In 1840 the Swiss geologist Louis Agassiz declared the grooves in the rocks of Blackford Quarry were caused by glaciers and this was the start of a whole new chapter of geological study in Scotland .",,"Public toilets are located at the stables.
Opening times: Monday to Thursday 9am- 5pm, Friday 9am-4pm.",,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.fohb.org/new/index.htm"">Friends of the Park</a>",,Yes,"<a href=""http://www.edinburgh.gov.uk/downloads/file/3765/hermitage_of_braid_management_plan_draft"">Hermitage of Braid Management Plan",,"55.919584171128385,-3.2010555267333984"
,"Hillside Cresent Gardens","Hillside Crescent","EH7 5EA","0131 529 7061",sfc.centralneighbourhood@edinburgh.gov.uk,,"Seating
Woodland
Grassed areas","Hillside Crescent Gardens were created by William Playfair to enrich the New Town crescent. There are displays of horse chestnut, lime and elm trees. The gardens are an important continuation of the greenery of Calton Hill, through Royal Terrace Garden and over the busy London Road.",,,,"Access on Lothian Bus nos 26 and 44.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://inspiringhillside.org.uk/"">Friends of Hillside and Calton Area</a>",,,,,"55.957945570368686,-3.177967071533203"
,"Holyrood Park","1 Queens Drive","EH8 8HG","0131 652 8150",hs.rangers@scotland.gsi.gov.uk,,"Visitor centre
Ranger service
Guided walks

","This is a royal park managed by Historic Scotland",,"With a mountain summit at its centre and management focused on enhancing the natural heritage of its wildflower grasslands, bogs, lochs and woodland it is a great place to ramble over and enjoy contact with nature. Historic Scotland has been particularly active in monitoring, protecting and re-introducing rare or threatened plants identified in the Edinburgh Biodiversity Action Plan, including spring sandwort, sticky catchfly and rock whitebeam.",,"Parking is available near Holyrood Palace Broad Pavement, St Margaret's Loch, Dunsapie Loch and Duddingston Loch.
Parking near Holyrood Palace Broad Pavement is charged. £1.00 an hour, with a minimum charge of £1.00. The charges apply between 08.30 and 17.30. The Regulations do not apply on Saturdays, Sundays and Christmas Day, Boxing Day, New years Day and Easter Monday. Charges applies to Historic Scotland Members as well.","Toilets are located at the Education Centre, behind Holyrood Palace.",,,,"<a href=""http://www.historic-scotland.gov.uk/index/places/propertyresults/propertydetail.htm?PropID=PL_125.htm"">Historic Scotland</a>",,,,"55.949010790124575,-3.1593189295381308"
,"Hopetoun Crescent Gardens","Hopetoun Crescent","EH7 4AX","0131 529 7061",citycentreteam@edinburgh.gov.uk,,"Seating
Interpretation
Site of orignial Botanic Gardens","Hidden off Leith Walk this peaceful garden provides a place of quiet refuge for local residents and a place to play for local school children. Its claim to fame is it is the site of the original Botanic Gardens of Edinburgh. The park has been awarded a Green Flag since 2008, in recognition of it being a quality greenspace.","In 1763 a Physic Garden, with a large plant collection, was established off Leith Walk by John Hope. The 5 acre site was designed to reflect the new discoveries and knowledge of Botany at that time. By 1820, when Robert Graham became the 3rd Regius Keeper, the Garden site established by John Hope could no longer accommodate its collections properly, so the decision was made to move it to a new site in Inverleith where the current Royal Botanic Gardens Edinburgh is now found.  
The old site was built on as Edinburgh expanded and the small area of garden left became a neglected site - full of rubbish. In the 1990s the local community started to get involved with the site and in 2002 the Friends of Hopetoun Crescent Garden were established. They breathed fresh life into the park by clearing the rubbish, upgrading paths and installing interpretation panels.","The Garden was always planned as a natural wildlife park and to this end many thousands of wild flowers, wild grasses and spring bulbs have been planted by local children and the Friends group. The group have also put up a range of bird boxes to encourage more wildlife to visit.",,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.hopetouncrescentgarden.org.uk/"">Friends of Hopetoun Crescent</a>",,"Since 2008","<a href=""http://www.edinburgh.gov.uk/downloads/file/7056/hopetoun_crescent_garden_management_plan"">Hopetoun Crescent Management Plan</a>",,"55.9611646610301,-3.1836318969726562"
